Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3186  1998  3293  2141 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 12:15:25,12-May-2025 12:15:25,12-May-2025 12:15:25,12-May-2025 12:15:25,12-May-2025 12:15:25,12-May-2025 12:15:25,12-May-2025 12:15:25,12-May-2025 12:15:25,12-May-2025 12:15:25,12-May-2025 12:15:25,12-May-2025 12:15:25,
File, car_18.0 mm_1600ISO_-3EV_Dist1_ON_Defocus2.tiff,car_18.0 mm_1600ISO_-3EV_Dist1_ON_Defocus1.tiff,car_18.0 mm_1600ISO_-3EV_Dist1_OFF_Focused.tiff,car_18.0 mm_6400ISO_-3EV_Dist1_ON_Focused.tiff,car_18.0 mm_1600ISO_-3EV_Dist1_ON_Focused.tiff,car_18.0 mm_100ISO_-3EV_Dist1_OFF_Defocus2.tiff,car_18.0 mm_100ISO_-3EV_Dist1_OFF_Defocus1.tiff,car_18.0 mm_100ISO_-3EV_Dist1_ON_Defocus2.tiff,car_18.0 mm_100ISO_-3EV_Dist1_ON_Defocus1.tiff,car_18.0 mm_100ISO_-3EV_Dist1_OFF_Focused.tiff,car_18.0 mm_100ISO_-3EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , 
Lens, , , , , , , , , , , 
ISO speed, , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0622,  0.1536,  0.1517,  0.0327,  0.1630,  0.0673,  0.1850,  0.0641,  0.1862,  0.1862,  0.2002
R1090 (pxl) Mean Ctr,  6.5118,  3.6526,  3.0902, 12.3189,  3.5314,  6.9637,  2.5910,  7.1241,  2.6652,  2.8417,  2.5642
CA (pxl) Mean Ctr,  1.1710,  2.0220,  1.2595,  4.3239,  0.4247,  0.2789,  0.7833,  0.1497,  0.3211,  0.2435,  0.5328
MTF50 (LW/PH) Mean Ctr,    500.1,   1235.1,   1220.0,    262.9,   1310.2,    541.0,   1487.5,    515.4,   1497.4,   1496.9,   1609.7
R1090 (/PH) Mean Ctr,    617.3,   1100.6,   1300.9,    326.3,   1138.4,    577.3,   1551.5,    564.3,   1508.3,   1414.6,   1567.7
Peak MTF Mean Ctr,   1.000,   1.000,   1.006,   1.444,   1.001,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000
MTF50P (Cy/Pxl) Mean Ctr,  0.0622,  0.1536,  0.1514,  0.5130,  0.1629,  0.0673,  0.1850,  0.0641,  0.1862,  0.1862,  0.2002
MTF50P (LW/PH) Mean Ctr,    500.1,   1235.1,   1216.9,   4124.9,   1309.9,    541.0,   1487.5,    515.4,   1497.4,   1496.9,   1609.7
MTF20 (Cy/Pxl) Mean Ctr,  0.1237,  0.1814,  0.2388,  0.0597,  0.2358,  0.1082,  0.3454,  0.1117,  0.3569,  0.3483,  0.3410
