Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3193  1976  3300  2119 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 11:42:23,12-May-2025 11:42:23,12-May-2025 11:42:23,12-May-2025 11:42:23,12-May-2025 11:42:23,12-May-2025 11:42:23,12-May-2025 11:42:23,12-May-2025 11:42:23,12-May-2025 11:42:23,12-May-2025 11:42:23,12-May-2025 11:42:23,12-May-2025 11:42:23,12-May-2025 11:42:23,12-May-2025 11:42:23,12-May-2025 11:42:23,12-May-2025 11:42:23,12-May-2025 11:42:23,12-May-2025 11:42:23,
File, sports ball_18.0 mm_6400ISO_-2EV_Dist1_OFF_Defocus2.tiff,sports ball_18.0 mm_6400ISO_-2EV_Dist1_OFF_Defocus1.tiff,sports ball_18.0 mm_1600ISO_-2EV_Dist1_OFF_Defocus2.tiff,sports ball_18.0 mm_1600ISO_-2EV_Dist1_OFF_Defocus1.tiff,sports ball_18.0 mm_6400ISO_-2EV_Dist1_ON_Defocus2.tiff,sports ball_18.0 mm_6400ISO_-2EV_Dist1_ON_Defocus1.tiff,sports ball_18.0 mm_6400ISO_-2EV_Dist1_OFF_Focused.tiff,sports ball_18.0 mm_1600ISO_-2EV_Dist1_ON_Defocus2.tiff,sports ball_18.0 mm_1600ISO_-2EV_Dist1_ON_Defocus1.tiff,sports ball_18.0 mm_1600ISO_-2EV_Dist1_OFF_Focused.tiff,sports ball_18.0 mm_6400ISO_-2EV_Dist1_ON_Focused.tiff,sports ball_18.0 mm_1600ISO_-2EV_Dist1_ON_Focused.tiff,sports ball_18.0 mm_100ISO_-2EV_Dist1_OFF_Defocus2.tiff,sports ball_18.0 mm_100ISO_-2EV_Dist1_OFF_Defocus1.tiff,sports ball_18.0 mm_100ISO_-2EV_Dist1_ON_Defocus2.tiff,sports ball_18.0 mm_100ISO_-2EV_Dist1_ON_Defocus1.tiff,sports ball_18.0 mm_100ISO_-2EV_Dist1_OFF_Focused.tiff,sports ball_18.0 mm_100ISO_-2EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0249,  0.0417,  0.0235,  0.0451,  0.0238,  0.0356,  0.1312,  0.0217,  0.0420,  0.1449,  0.0807,  0.1717,  0.0233,  0.0444,  0.0230,  0.0441,  0.1822,  0.1793
R1090 (pxl) Mean Ctr, 14.2720,  9.5801, 17.4201,  9.3933, 16.0685, 11.6806,  3.6911, 18.9043, 10.9755,  2.4767,  8.1751,  3.3677, 21.4319, 10.6585, 19.8908, 10.9941,  2.8376,  2.7632
CA (pxl) Mean Ctr,  2.3892,  3.7940,  1.5230,  1.0873,  0.7551,  3.4816,  3.0955,  4.2311,  0.9318,  0.6250,  3.0294,  0.8879,  0.5930,  0.2035,  0.5743,  0.2621,  0.2778,  0.2221
MTF50 (LW/PH) Mean Ctr,    199.9,    335.3,    189.3,    362.9,    191.3,    286.0,   1055.2,    174.4,    338.0,   1164.9,    648.6,   1380.6,    187.2,    357.0,    185.2,    354.6,   1464.7,   1441.5
R1090 (/PH) Mean Ctr,    281.7,    419.6,    230.8,    428.0,    250.2,    344.2,   1089.1,    212.6,    366.3,   1623.1,    491.7,   1193.7,    187.6,    377.2,    202.1,    365.7,   1416.7,   1454.8
Peak MTF Mean Ctr,   1.150,   1.000,   1.000,   1.000,   1.124,   1.066,   1.000,   1.000,   1.007,   1.038,   1.175,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000
MTF50P (Cy/Pxl) Mean Ctr,  0.3703,  0.0417,  0.0235,  0.0451,  0.3812,  0.5067,  0.1312,  0.0217,  0.0418,  0.1432,  0.3681,  0.1717,  0.0233,  0.0444,  0.0230,  0.0441,  0.1822,  0.1793
MTF50P (LW/PH) Mean Ctr,   2977.0,    335.3,    189.3,    362.9,   3065.1,   4073.5,   1055.2,    174.4,    336.2,   1151.3,   2959.3,   1380.6,    187.2,    357.0,    185.2,    354.6,   1464.7,   1441.5
