Imatest,24.2.6, Master, SFR
File,cup_18.0 mm_25600ISO_+1EV_Dist1_OFF_Defocus2.tiff
Run date,07-May-2025 09:33:07,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results/cup+1EV

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0154,  123.87, 0.8222, 0.7545, 0.8422, 0.8241, 0.8222
0.0308,  247.75, 0.4727, 0.4080, 0.4979, 0.4316, 0.4727
0.0462,  371.62, 0.1800, 0.1889, 0.2585, 0.0681, 0.1800
0.0616,  495.50, 0.0997, 0.2743, 0.2437, 0.2447, 0.0997
0.0770,  619.37, 0.1154, 0.1061, 0.1703, 0.2636, 0.1154
0.0924,  743.25, 0.1264, 0.3935, 0.2497, 0.0513, 0.1264
0.1079,  867.12, 0.1016, 0.5704, 0.3230, 0.3107, 0.1016
0.1233,  991.00, 0.0284, 0.6410, 0.1664, 0.2825, 0.0284
0.1387, 1114.87, 0.0477, 0.4011, 0.1130, 0.0763, 0.0477
0.1541, 1238.75, 0.0144, 0.2105, 0.0376, 0.1643, 0.0144
0.1695, 1362.62, 0.0984, 0.3310, 0.1408, 0.1917, 0.0984
0.1849, 1486.50, 0.3219, 0.5716, 0.2636, 0.2945, 0.3219
0.2003, 1610.37, 0.4216, 0.2353, 0.5151, 0.2220, 0.4216
0.2157, 1734.25, 0.3473, 0.0869, 0.4320, 0.5565, 0.3473
0.2311, 1858.12, 0.2204, 0.3545, 0.1792, 0.4001, 0.2204
0.2465, 1982.00, 0.1107, 0.3675, 0.1656, 0.3361, 0.1107
0.2619, 2105.87, 0.2977, 0.5704, 0.2709, 0.1618, 0.2977
0.2773, 2229.75, 0.4421, 0.4498, 0.4727, 0.1789, 0.4421
0.2927, 2353.62, 0.4166, 0.5105, 0.4011, 0.3243, 0.4166
0.3081, 2477.50, 0.2113, 0.6553, 0.1083, 0.2182, 0.2113
0.3236, 2601.37, 0.1658, 0.3126, 0.2358, 0.1429, 0.1658
0.3390, 2725.25, 0.4115, 0.1938, 0.4946, 0.2446, 0.4115
0.3544, 2849.12, 0.1930, 0.2268, 0.1816, 0.2378, 0.1930
0.3698, 2973.00, 0.2574, 0.3003, 0.2666, 0.3738, 0.2574
0.3852, 3096.87, 0.1307, 0.1505, 0.1457, 0.3223, 0.1307
0.4006, 3220.75, 0.4328, 0.6422, 0.3928, 0.3282, 0.4328
0.4160, 3344.62, 0.5856, 0.7586, 0.5510, 0.4564, 0.5856
0.4314, 3468.50, 0.4855, 0.5397, 0.4938, 0.2731, 0.4855
0.4468, 3592.37, 0.3718, 0.3311, 0.4099, 0.2215, 0.3718
0.4622, 3716.25, 0.1889, 0.1020, 0.2204, 0.1961, 0.1889
0.4776, 3840.12, 0.0538, 0.1019, 0.0667, 0.2736, 0.0538
0.4930, 3964.00, 0.1352, 0.1583, 0.1508, 0.1328, 0.1352
0.5084, 4087.87, 0.1288, 0.2490, 0.1230, 0.0541, 0.1288
0.5238, 4211.75, 0.2251, 0.4611, 0.1721, 0.0982, 0.2251
0.5393, 4335.62, 0.2667, 0.2541, 0.2915, 0.2197, 0.2667
0.5547, 4459.50, 0.1103, 0.0273, 0.1580, 0.1400, 0.1103
0.5701, 4583.37, 0.5641, 0.3420, 0.6390, 0.6093, 0.5641
0.5855, 4707.25, 0.3499, 0.2797, 0.3733, 0.5415, 0.3499
0.6009, 4831.12, 0.1614, 0.3301, 0.1945, 0.2571, 0.1614
0.6163, 4955.00, 0.3775, 0.7003, 0.3490, 0.2588, 0.3775
0.6317, 5078.87, 0.4004, 0.4875, 0.4091, 0.5147, 0.4004
0.6471, 5202.75, 0.4411, 0.3583, 0.4409, 0.7795, 0.4411
0.6625, 5326.62, 0.2316, 0.5123, 0.1843, 0.1693, 0.2316
0.6779, 5450.49, 0.6766, 0.8000, 0.6562, 0.5602, 0.6766
0.6933, 5574.37, 0.3488, 0.5992, 0.2889, 0.7726, 0.3488
0.7087, 5698.24, 0.5907, 0.5947, 0.6959, 0.5475, 0.5907
0.7241, 5822.12, 0.3260, 0.0627, 0.5087, 0.6690, 0.3260
0.7396, 5945.99, 0.2579, 0.1300, 0.3490, 0.3722, 0.2579
0.7550, 6069.87, 0.3575, 0.9924, 0.2680, 0.4879, 0.3575
0.7704, 6193.74, 0.6090, 0.9570, 1.0269, 0.6935, 0.6090
0.7858, 6317.62, 0.6483, 0.9706, 1.1113, 1.0103, 0.6483
0.8012, 6441.49, 0.1559, 1.1132, 0.4346, 0.6074, 0.1559
0.8166, 6565.37, 0.1451, 1.5808, 0.3619, 0.5997, 0.1451
0.8320, 6689.24, 0.3721, 1.8702, 0.6479, 1.0199, 0.3721
0.8474, 6813.12, 0.8047, 1.0662, 1.0781, 0.0638, 0.8047
0.8628, 6936.99, 1.1735, 1.1600, 1.2757, 0.9999, 1.1735
0.8782, 7060.87, 0.6340, 0.1586, 0.8004, 1.7036, 0.6340
0.8936, 7184.74, 0.4096, 1.8494, 0.9037, 1.5238, 0.4096
0.9090, 7308.62, 0.4909, 1.0665, 1.1650, 2.0000, 0.4909
0.9244, 7432.49, 1.0377, 2.0000, 1.3567, 1.9157, 1.0377
0.9398, 7556.37, 1.4360, 2.0000, 1.1483, 2.0000, 1.4360
0.9553, 7680.24, 1.1670, 2.0000, 0.3413, 2.0000, 1.1670
0.9707, 7804.12, 0.5678, 2.0000, 0.7939, 2.0000, 0.5678
0.9861, 7927.99, 0.7130, 2.0000, 0.7625, 0.8730, 0.7130
1.0015, 8051.87, 2.0000, 2.0000, 2.0000, 0.9817, 2.0000
,
Interpolated f and MTF, Region 1 of 1 total
freq(C/P),MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0250, 0.6046, 0.5388, 0.6278, 0.5797, 0.6046
0.0500, 0.1603, 0.2098, 0.2548, 0.1114, 0.1603
0.0750, 0.1133, 0.1283, 0.1800, 0.2611, 0.1133
0.1000, 0.1143, 0.4803, 0.2857, 0.1785, 0.1143
0.1250, 0.0305, 0.6139, 0.1604, 0.2592, 0.0305
0.1500, 0.0232, 0.2609, 0.0575, 0.1411, 0.0232
0.1750, 0.1785, 0.4172, 0.1848, 0.2285, 0.1785
0.2000, 0.4197, 0.2417, 0.5103, 0.2234, 0.4197
0.2250, 0.2707, 0.2484, 0.2794, 0.4621, 0.2707
0.2500, 0.1530, 0.4134, 0.1894, 0.2967, 0.1530
0.2750, 0.4202, 0.4681, 0.4421, 0.1763, 0.4202
0.3000, 0.3198, 0.5787, 0.2631, 0.2743, 0.3198
0.3250, 0.1889, 0.3014, 0.2601, 0.1525, 0.1889
0.3500, 0.2550, 0.2174, 0.2704, 0.2397, 0.2550
0.3750, 0.2145, 0.2495, 0.2256, 0.3563, 0.2145
0.4000, 0.4212, 0.6233, 0.3833, 0.3280, 0.4212
0.4250, 0.5271, 0.6307, 0.5176, 0.3493, 0.5271
0.4500, 0.3339, 0.2837, 0.3707, 0.2162, 0.3339
0.4750, 0.0768, 0.1019, 0.0929, 0.2604, 0.0768
0.5000, 0.1323, 0.1993, 0.1382, 0.0972, 0.1323
0.5500, 0.1577, 0.0959, 0.1984, 0.1641, 0.1577
0.6000, 0.1722, 0.3272, 0.2048, 0.2734, 0.1722
0.6500, 0.4018, 0.3872, 0.3928, 0.6649, 0.4018
0.7000, 0.4536, 0.5973, 0.4651, 0.6751, 0.4536
0.7500, 0.3254, 0.7148, 0.2941, 0.4507, 0.3254
0.8000, 0.1936, 1.1023, 0.4864, 0.6383, 0.1936
0.8500, 0.8668, 1.0820, 1.1114, 0.2216, 0.8668
0.9000, 0.4432, 1.5255, 1.0118, 1.8210, 0.4432
0.9500, 1.2588, 4.2127, 0.6165, 2.4352, 1.2588
1.0000, 2.3299, 4.0035, 2.1343, 0.9712, 2.3299

Edge profile, Region 1 of 1 total
x (pixels),R Edge, G Edge, B Edge, Y Edge,CA (max Delta)
-10.98, 0.136, 0.062,-0.037, 0.072, 0.173
-10.48, 0.062, 0.107, 0.001, 0.089, 0.106
-9.99, 0.145, 0.098, 0.011, 0.103, 0.134
-9.49,-0.027, 0.061, 0.041, 0.039, 0.088
-8.99, 0.105, 0.105, 0.034, 0.099, 0.071
-8.49, 0.068, 0.141, 0.159, 0.126, 0.090
-7.99, 0.146, 0.116, 0.045, 0.118, 0.101
-7.49, 0.091, 0.170, 0.167, 0.152, 0.079
-6.99, 0.248, 0.213, 0.137, 0.216, 0.111
-6.49, 0.033, 0.216, 0.163, 0.169, 0.183
-5.99, 0.183, 0.211, 0.071, 0.194, 0.141
-5.49, 0.112, 0.335, 0.198, 0.273, 0.223
-4.99, 0.198, 0.274, 0.110, 0.244, 0.164
-4.49, 0.171, 0.302, 0.202, 0.264, 0.131
-3.99, 0.256, 0.309, 0.160, 0.286, 0.150
-3.49, 0.216, 0.286, 0.216, 0.264, 0.070
-3.00, 0.288, 0.257, 0.197, 0.260, 0.091
-2.50, 0.370, 0.368, 0.316, 0.365, 0.053
-2.00, 0.482, 0.361, 0.394, 0.392, 0.121
-1.50, 0.394, 0.399, 0.382, 0.397, 0.017
-1.00, 0.537, 0.363, 0.426, 0.409, 0.173
-0.50, 0.396, 0.415, 0.365, 0.407, 0.050
 0.00, 0.568, 0.468, 0.512, 0.494, 0.101
 0.50, 0.529, 0.530, 0.468, 0.525, 0.062
 1.00, 0.548, 0.544, 0.627, 0.551, 0.083
 1.50, 0.553, 0.571, 0.526, 0.564, 0.045
 2.00, 0.470, 0.525, 0.665, 0.523, 0.195
 2.50, 0.480, 0.600, 0.521, 0.566, 0.120
 3.00, 0.514, 0.615, 0.643, 0.594, 0.129
 3.49, 0.532, 0.713, 0.590, 0.662, 0.181
 3.99, 0.590, 0.702, 0.679, 0.674, 0.112
 4.49, 0.627, 0.747, 0.565, 0.706, 0.182
 4.99, 0.688, 0.809, 0.751, 0.777, 0.121
 5.49, 0.671, 0.737, 0.684, 0.718, 0.065
 5.99, 0.713, 0.842, 0.717, 0.802, 0.129
 6.49, 0.606, 0.694, 0.739, 0.677, 0.133
 6.99, 0.772, 0.835, 0.698, 0.810, 0.136
 7.49, 0.731, 0.841, 0.746, 0.808, 0.110
 7.99, 0.873, 0.867, 0.749, 0.860, 0.124
 8.49, 0.732, 0.900, 0.773, 0.851, 0.169
 8.99, 0.885, 0.952, 0.840, 0.928, 0.112
 9.49, 0.727, 0.942, 0.835, 0.883, 0.215
 9.99, 0.833, 1.064, 0.874, 0.996, 0.231
10.48, 0.714, 0.976, 0.952, 0.913, 0.262
10.98, 0.779, 1.028, 0.843, 0.956, 0.249
11.48, 0.706, 1.002, 0.896, 0.925, 0.296
11.98, 0.748, 1.065, 0.896, 0.978, 0.317
12.48, 0.772, 1.058, 0.848, 0.976, 0.286
12.98, 0.715, 1.064, 0.924, 0.972, 0.349
13.48, 0.771, 0.977, 0.858, 0.920, 0.207
13.98, 0.778, 1.102, 1.002, 1.019, 0.324
14.48, 0.923, 0.986, 0.948, 0.968, 0.063
14.98, 0.868, 1.080, 1.081, 1.030, 0.213
15.48, 1.000, 1.031, 0.982, 1.020, 0.049
15.98, 0.840, 0.967, 1.010, 0.940, 0.170
16.48, 0.967, 0.926, 1.046, 0.945, 0.120

Level and noise analysis (pixel levels: gamma-encoded and linear) for ROI 1 of 1 total
Dark pixel level  ,    0.0
Light pixel level ,   73.0
Dark level linear , 0.0000
Light level linear,  0.082

Slice orientation,Horiz (V-edge),(Profile)
Image WxH & Mpxls,6024,4020,24.216
lens_to_chart_distance_cm, 205
