Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3210  2010  3318  2209 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 14:23:14,12-May-2025 14:23:14,12-May-2025 14:23:14,12-May-2025 14:23:14,12-May-2025 14:23:14,12-May-2025 14:23:14,12-May-2025 14:23:14,12-May-2025 14:23:14,12-May-2025 14:23:14,12-May-2025 14:23:14,12-May-2025 14:23:14,
File, car_18.0 mm_6400ISO_-3EV_Dist2_OFF_Defocus2.tiff,car_18.0 mm_6400ISO_-3EV_Dist2_OFF_Focused.tiff,car_18.0 mm_6400ISO_-3EV_Dist2_ON_Defocus1.tiff,car_18.0 mm_6400ISO_-3EV_Dist2_ON_Defocus2.tiff,car_18.0 mm_6400ISO_-3EV_Dist2_ON_Focused.tiff,car_18.0 mm_25600ISO_-3EV_Dist2_OFF_Defocus1.tiff,car_18.0 mm_25600ISO_-3EV_Dist2_OFF_Defocus2.tiff,car_18.0 mm_25600ISO_-3EV_Dist2_OFF_Focused.tiff,car_18.0 mm_25600ISO_-3EV_Dist2_ON_Defocus1.tiff,car_18.0 mm_25600ISO_-3EV_Dist2_ON_Defocus2.tiff,car_18.0 mm_25600ISO_-3EV_Dist2_ON_Focused.tiff,
Camera, , , , , , , , , , , 
Lens, , , , , , , , , , , 
ISO speed, , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0160,  0.0397,  0.0202,  0.0164,  0.1181,  0.0543,     NaN,  0.0136,  0.0091,  0.0084,  0.0241
R1090 (pxl) Mean Ctr,  8.9877,  7.8447,  9.6045, 14.1081, 45.9185, 171.7965, -0.0429, 42.5966, 41.1284, 157.0557, -0.4274
CA (pxl) Mean Ctr, 38.6578,  5.3924, 45.3628,  5.2129, 83.4277, 103.3595, 580.1150,  9.0546, 36.6966, 119.3638, 21.7470
MTF50 (LW/PH) Mean Ctr,    129.0,    319.2,    162.7,    131.9,    949.4,    436.6,      NaN,    109.3,     73.1,     67.4,    193.5
R1090 (/PH) Mean Ctr,    447.3,    512.4,    418.6,    284.9,     87.5,     23.4, -93712.4,     94.4,     97.7,     25.6,  -9406.8
Peak MTF Mean Ctr,   2.749,   2.040,   2.565,   2.749,   1.451,   5.415, 383.229,   2.267,   3.087,   1.276,  20.701
MTF50P (Cy/Pxl) Mean Ctr,  0.5294,  0.2910,  0.3161,  0.3639,  0.4303,  0.5053,     NaN,  0.3172,  0.3995,  0.3591,  0.4273
MTF50P (LW/PH) Mean Ctr,   4256.2,   2339.6,   2541.5,   2925.4,   3459.8,   4062.7,      NaN,   2550.4,   3211.9,   2886.8,   3435.4
MTF20 (Cy/Pxl) Mean Ctr,  0.0268,  0.0600,  0.0412,  0.0235,  0.2174,  0.3556,     NaN,  0.0527,  0.0182,  0.0267,     NaN
