Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3411  1905  3718  2315 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 16:05:04,12-May-2025 16:05:04,12-May-2025 16:05:04,12-May-2025 16:05:04,12-May-2025 16:05:04,12-May-2025 16:05:04,12-May-2025 16:05:04,12-May-2025 16:05:04,12-May-2025 16:05:04,12-May-2025 16:05:04,12-May-2025 16:05:04,
File, car_55.0 mm_6400ISO_-1EV_Dist1_OFF_Defocus2.tiff,car_55.0 mm_6400ISO_-1EV_Dist1_OFF_Focused.tiff,car_55.0 mm_6400ISO_-1EV_Dist1_ON_Defocus1.tiff,car_55.0 mm_6400ISO_-1EV_Dist1_ON_Defocus2.tiff,car_55.0 mm_6400ISO_-1EV_Dist1_ON_Focused.tiff,car_55.0 mm_25600ISO_-1EV_Dist1_OFF_Defocus1.tiff,car_55.0 mm_25600ISO_-1EV_Dist1_OFF_Defocus2.tiff,car_55.0 mm_25600ISO_-1EV_Dist1_OFF_Focused.tiff,car_55.0 mm_25600ISO_-1EV_Dist1_ON_Defocus1.tiff,car_55.0 mm_25600ISO_-1EV_Dist1_ON_Defocus2.tiff,car_55.0 mm_25600ISO_-1EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , 
Lens, , , , , , , , , , , 
ISO speed, , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0080,  0.0841,  0.0164,  0.0085,  0.0804,  0.0057,  0.0080,  0.0206,  0.0042,  0.0080,  0.0164
R1090 (pxl) Mean Ctr, 58.4628,  4.1617, 22.2052, 44.0943,  5.1796, 128.9466, 198.3948, 16.8973, 184.6638, 40.9681, 23.3440
CA (pxl) Mean Ctr,  8.7275,  1.1599,  5.8090, 203.4684,  0.9436, 215.2377, 467.4082,  1.0791, 200.4882, 68.2973, 23.8828
MTF50 (LW/PH) Mean Ctr,     64.5,    676.0,    131.9,     68.4,    646.8,     45.9,     64.3,    165.5,     34.1,     64.7,    131.9
R1090 (/PH) Mean Ctr,     68.8,    966.0,    181.0,     91.2,    776.1,     31.2,     20.3,    237.9,     21.8,     98.1,    172.2
Peak MTF Mean Ctr,   1.000,   1.003,   1.000,   1.026,   1.000,   1.000,   2.967,   2.543,   4.496,   2.629,   2.126
MTF50P (Cy/Pxl) Mean Ctr,  0.0080,  0.0840,  0.0164,  0.4406,  0.0804,  0.0057,  0.4855,  0.2882,  0.3757,  0.4766,  0.4511
MTF50P (LW/PH) Mean Ctr,     64.5,    675.7,    131.9,   3542.6,    646.8,     45.9,   3903.8,   2317.0,   3020.3,   3831.7,   3627.0
MTF20 (Cy/Pxl) Mean Ctr,  0.0117,  0.1658,  0.0249,  0.0122,  0.1264,  0.0763,  0.0114,  0.0353,  0.0072,  0.0119,  0.0248
