Imatest,24.2.6, Master, SFR
File,sports ball_18.0 mm_6400ISO_+1EV_Dist1_ON_Defocus2.tiff
Run date,07-May-2025 09:55:15,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results/ball+1EV

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0154,  123.80, 0.7799, 0.7724, 0.7841, 0.7627, 0.7799
0.0308,  247.60, 0.3284, 0.3304, 0.3354, 0.2629, 0.3284
0.0462,  371.40, 0.0112, 0.0261, 0.0246, 0.0821, 0.0112
0.0616,  495.20, 0.0603, 0.2007, 0.0514, 0.1079, 0.0603
0.0770,  619.00, 0.0143, 0.1783, 0.0710, 0.1011, 0.0143
0.0924,  742.80, 0.0595, 0.0441, 0.1018, 0.2018, 0.0595
0.1078,  866.60, 0.0947, 0.1122, 0.1912, 0.3030, 0.0947
0.1232,  990.40, 0.0666, 0.0881, 0.1493, 0.2883, 0.0666
0.1386, 1114.20, 0.0563, 0.0879, 0.0986, 0.2063, 0.0563
0.1540, 1238.00, 0.0621, 0.2266, 0.1262, 0.2566, 0.0621
0.1694, 1361.80, 0.0539, 0.2241, 0.0743, 0.1364, 0.0539
0.1848, 1485.60, 0.0378, 0.0461, 0.0849, 0.1786, 0.0378
0.2002, 1609.40, 0.0936, 0.1650, 0.1095, 0.2866, 0.0936
0.2156, 1733.20, 0.0811, 0.2890, 0.0917, 0.1704, 0.0811
0.2310, 1857.00, 0.1450, 0.1318, 0.2392, 0.1502, 0.1450
0.2464, 1980.80, 0.1359, 0.1778, 0.2000, 0.1797, 0.1359
0.2618, 2104.60, 0.0682, 0.0932, 0.1111, 0.1154, 0.0682
0.2772, 2228.40, 0.0693, 0.2693, 0.0672, 0.1097, 0.0693
0.2926, 2352.20, 0.0288, 0.2722, 0.0474, 0.1248, 0.0288
0.3080, 2476.01, 0.1104, 0.0731, 0.1665, 0.1507, 0.1104
0.3234, 2599.81, 0.1734, 0.0932, 0.2431, 0.0187, 0.1734
0.3388, 2723.61, 0.1811, 0.1437, 0.2230, 0.1058, 0.1811
0.3542, 2847.41, 0.1155, 0.1036, 0.1266, 0.0719, 0.1155
0.3696, 2971.21, 0.1761, 0.1693, 0.2029, 0.0357, 0.1761
0.3850, 3095.01, 0.1636, 0.1242, 0.1927, 0.0869, 0.1636
0.4003, 3218.81, 0.0508, 0.0722, 0.0518, 0.0387, 0.0508
0.4157, 3342.61, 0.1849, 0.2488, 0.1856, 0.1458, 0.1849
0.4311, 3466.41, 0.2495, 0.3098, 0.2420, 0.1742, 0.2495
0.4465, 3590.21, 0.2875, 0.3232, 0.2845, 0.2199, 0.2875
0.4619, 3714.01, 0.2517, 0.3094, 0.2476, 0.1513, 0.2517
0.4773, 3837.81, 0.1393, 0.1299, 0.1581, 0.0729, 0.1393
0.4927, 3961.61, 0.2025, 0.1544, 0.2246, 0.1719, 0.2025
0.5081, 4085.41, 0.1983, 0.1408, 0.2178, 0.2259, 0.1983
0.5235, 4209.21, 0.1073, 0.1444, 0.1080, 0.1400, 0.1073
0.5389, 4333.01, 0.0507, 0.0886, 0.0441, 0.0639, 0.0507
0.5543, 4456.81, 0.1405, 0.1604, 0.1566, 0.0589, 0.1405
0.5697, 4580.61, 0.2573, 0.2098, 0.2898, 0.1481, 0.2573
0.5851, 4704.41, 0.3057, 0.3595, 0.3083, 0.1545, 0.3057
0.6005, 4828.21, 0.3465, 0.3332, 0.3735, 0.1756, 0.3465
0.6159, 4952.01, 0.2485, 0.2484, 0.2541, 0.2281, 0.2485
0.6313, 5075.81, 0.0581, 0.1302, 0.0946, 0.3978, 0.0581
0.6467, 5199.61, 0.3005, 0.2264, 0.3013, 0.7022, 0.3005
0.6621, 5323.41, 0.4117, 0.3838, 0.4297, 0.6442, 0.4117
0.6775, 5447.21, 0.1513, 0.4506, 0.0582, 0.5542, 0.1513
0.6929, 5571.01, 0.0347, 0.4783, 0.1856, 0.2696, 0.0347
0.7083, 5694.81, 0.2177, 0.1647, 0.2512, 0.2750, 0.2177
0.7237, 5818.61, 0.7325, 1.0652, 0.6645, 0.5693, 0.7325
0.7391, 5942.41, 0.5712, 0.7039, 0.6034, 0.3174, 0.5712
0.7545, 6066.21, 0.5869, 0.5473, 0.6687, 0.6710, 0.5869
0.7699, 6190.01, 0.6880, 0.5000, 0.8252, 0.3447, 0.6880
0.7853, 6313.81, 0.5037, 0.9544, 0.4454, 0.1277, 0.5037
0.8007, 6437.61, 0.3132, 1.0926, 0.0910, 0.3560, 0.3132
0.8161, 6561.41, 0.2250, 0.6143, 0.1181, 0.7703, 0.2250
0.8315, 6685.21, 0.2950, 0.5435, 0.5104, 0.6689, 0.2950
0.8469, 6809.01, 0.0513, 0.6033, 0.2287, 0.6590, 0.0513
0.8623, 6932.81, 0.3498, 0.4548, 0.3641, 0.9518, 0.3498
0.8777, 7056.61, 0.2788, 0.9884, 0.3135, 1.1248, 0.2788
0.8931, 7180.42, 0.2893, 1.5414, 0.3353, 0.8631, 0.2893
0.9085, 7304.22, 0.3897, 1.5058, 0.7880, 0.3697, 0.3897
0.9239, 7428.02, 0.8485, 0.2093, 1.2895, 0.4810, 0.8485
0.9393, 7551.82, 0.7603, 0.2657, 1.0297, 0.4242, 0.7603
0.9547, 7675.62, 0.4286, 0.3592, 0.4825, 0.4274, 0.4286
0.9701, 7799.42, 0.9192, 0.3997, 1.1786, 0.1504, 0.9192
0.9855, 7923.22, 1.0730, 1.4915, 1.2888, 0.3473, 1.0730
1.0009, 8047.02, 1.0112, 2.0000, 1.0774, 1.2075, 1.0112
,
Interpolated f and MTF, Region 1 of 1 total
freq(C/P),MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0250, 0.4984, 0.4968, 0.5043, 0.4510, 0.4984
0.0500, 0.0233, 0.0692, 0.0312, 0.0885, 0.0233
0.0750, 0.0203, 0.1812, 0.0685, 0.1020, 0.0203
0.1000, 0.0769, 0.0778, 0.1460, 0.2518, 0.0769
0.1250, 0.0654, 0.0881, 0.1433, 0.2786, 0.0654
0.1500, 0.0606, 0.1908, 0.1191, 0.2436, 0.0606
0.1750, 0.0480, 0.1591, 0.0781, 0.1518, 0.0480
0.2000, 0.0930, 0.1636, 0.1092, 0.2854, 0.0930
0.2250, 0.1202, 0.1927, 0.1820, 0.1581, 0.1202
0.2500, 0.1200, 0.1579, 0.1790, 0.1645, 0.1200
0.2750, 0.0692, 0.2445, 0.0734, 0.1105, 0.0692
0.3000, 0.0682, 0.1760, 0.1049, 0.1373, 0.0682
0.3250, 0.1742, 0.0985, 0.2409, 0.0280, 0.1742
0.3500, 0.1332, 0.1144, 0.1526, 0.0811, 0.1332
0.3750, 0.1717, 0.1534, 0.1993, 0.0538, 0.1717
0.4000, 0.0534, 0.0734, 0.0550, 0.0398, 0.0534
0.4250, 0.2237, 0.2855, 0.2195, 0.1629, 0.2237
0.4500, 0.2794, 0.3201, 0.2762, 0.2045, 0.2794
0.4750, 0.1563, 0.1572, 0.1717, 0.0848, 0.1563
0.5000, 0.2005, 0.1480, 0.2214, 0.1973, 0.2005
0.5500, 0.1152, 0.1402, 0.1250, 0.0603, 0.1152
0.6000, 0.3451, 0.3341, 0.3713, 0.1749, 0.3451
0.6500, 0.3242, 0.2600, 0.3287, 0.6899, 0.3242
0.7000, 0.1190, 0.3340, 0.2158, 0.2721, 0.1190
0.7500, 0.5823, 0.5931, 0.6496, 0.5676, 0.5823
0.8000, 0.3218, 1.0863, 0.1071, 0.3457, 0.3218
0.8500, 0.1116, 0.5733, 0.2560, 0.7180, 0.1116
0.9000, 0.3344, 1.5254, 0.5386, 0.6416, 0.3344
0.9500, 0.5294, 0.3308, 0.6488, 0.4265, 0.5294
1.0000, 1.0147, 2.0456, 1.0894, 1.1588, 1.0147

Edge profile, Region 1 of 1 total
x (pixels),R Edge, G Edge, B Edge, Y Edge,CA (max Delta)
-13.99, 0.088, 0.060, 0.056, 0.066, 0.032
-13.49, 0.056, 0.026, 0.076, 0.036, 0.050
-12.99, 0.102, 0.069, 0.062, 0.076, 0.040
-12.49, 0.001, 0.021, 0.051, 0.019, 0.051
-11.99, 0.081, 0.086, 0.080, 0.084, 0.006
-11.49, 0.055, 0.087, 0.075, 0.079, 0.031
-10.99, 0.080, 0.102, 0.096, 0.097, 0.023
-10.49, 0.122, 0.106, 0.080, 0.108, 0.043
-9.99, 0.157, 0.135, 0.127, 0.139, 0.030
-9.49, 0.156, 0.126, 0.137, 0.133, 0.031
-8.99, 0.182, 0.180, 0.176, 0.180, 0.006
-8.49, 0.188, 0.146, 0.183, 0.158, 0.041
-7.99, 0.164, 0.196, 0.248, 0.193, 0.084
-7.49, 0.249, 0.226, 0.261, 0.233, 0.035
-6.99, 0.197, 0.216, 0.277, 0.217, 0.080
-6.49, 0.213, 0.236, 0.259, 0.233, 0.046
-5.99, 0.333, 0.300, 0.314, 0.308, 0.033
-5.50, 0.294, 0.277, 0.255, 0.279, 0.038
-5.00, 0.379, 0.307, 0.276, 0.320, 0.103
-4.50, 0.346, 0.303, 0.275, 0.310, 0.071
-4.00, 0.378, 0.302, 0.294, 0.318, 0.084
-3.50, 0.410, 0.420, 0.320, 0.411, 0.100
-3.00, 0.439, 0.377, 0.370, 0.390, 0.069
-2.50, 0.417, 0.420, 0.361, 0.415, 0.059
-2.00, 0.465, 0.414, 0.420, 0.425, 0.051
-1.50, 0.444, 0.438, 0.447, 0.440, 0.008
-1.00, 0.508, 0.447, 0.493, 0.463, 0.061
-0.50, 0.507, 0.486, 0.471, 0.489, 0.036
 0.00, 0.549, 0.481, 0.557, 0.501, 0.077
 0.50, 0.561, 0.533, 0.530, 0.539, 0.031
 1.00, 0.579, 0.526, 0.579, 0.541, 0.053
 1.50, 0.596, 0.576, 0.602, 0.582, 0.026
 2.00, 0.605, 0.577, 0.608, 0.585, 0.031
 2.50, 0.577, 0.599, 0.609, 0.595, 0.032
 3.00, 0.656, 0.645, 0.621, 0.646, 0.034
 3.50, 0.650, 0.663, 0.607, 0.656, 0.056
 4.00, 0.688, 0.690, 0.597, 0.682, 0.093
 4.50, 0.665, 0.706, 0.603, 0.689, 0.102
 5.00, 0.691, 0.760, 0.641, 0.736, 0.119
 5.50, 0.682, 0.795, 0.661, 0.761, 0.134
 5.99, 0.717, 0.794, 0.711, 0.771, 0.083
 6.49, 0.750, 0.817, 0.756, 0.798, 0.067
 6.99, 0.782, 0.780, 0.723, 0.776, 0.059
 7.49, 0.804, 0.779, 0.792, 0.786, 0.025
 7.99, 0.871, 0.779, 0.810, 0.801, 0.092
 8.49, 0.864, 0.832, 0.809, 0.837, 0.055
 8.99, 0.919, 0.839, 0.866, 0.858, 0.080
 9.49, 0.860, 0.841, 0.832, 0.845, 0.028
 9.99, 0.950, 0.882, 0.902, 0.898, 0.067
10.49, 0.967, 0.918, 0.928, 0.929, 0.049
10.99, 0.920, 0.881, 0.951, 0.895, 0.070
11.49, 0.936, 0.895, 0.930, 0.906, 0.041
11.99, 0.954, 0.951, 1.011, 0.956, 0.059
12.49, 0.889, 0.956, 0.992, 0.945, 0.103
12.99, 1.009, 0.962, 0.958, 0.971, 0.050
13.49, 0.929, 1.000, 1.026, 0.987, 0.097
13.99, 1.034, 0.951, 0.942, 0.968, 0.092
14.49, 0.953, 0.998, 1.022, 0.990, 0.069
14.99, 1.067, 1.018, 1.001, 1.027, 0.066
15.49, 0.967, 1.020, 1.022, 1.009, 0.054
15.99, 1.005, 0.993, 1.008, 0.997, 0.015
