Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3192  1977  3300  2120 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 12:31:23,12-May-2025 12:31:23,12-May-2025 12:31:23,12-May-2025 12:31:23,12-May-2025 12:31:23,12-May-2025 12:31:23,12-May-2025 12:31:23,12-May-2025 12:31:23,12-May-2025 12:31:23,12-May-2025 12:31:23,12-May-2025 12:31:23,12-May-2025 12:31:23,
File, cup_18.0 mm_6400ISO_-3EV_Dist1_OFF_Focused.tiff,cup_18.0 mm_1600ISO_-3EV_Dist1_ON_Defocus2.tiff,cup_18.0 mm_1600ISO_-3EV_Dist1_ON_Defocus1.tiff,cup_18.0 mm_1600ISO_-3EV_Dist1_OFF_Focused.tiff,cup_18.0 mm_6400ISO_-3EV_Dist1_ON_Focused.tiff,cup_18.0 mm_1600ISO_-3EV_Dist1_ON_Focused.tiff,cup_18.0 mm_100ISO_-3EV_Dist1_OFF_Defocus2.tiff,cup_18.0 mm_100ISO_-3EV_Dist1_OFF_Defocus1.tiff,cup_18.0 mm_100ISO_-3EV_Dist1_ON_Defocus2.tiff,cup_18.0 mm_100ISO_-3EV_Dist1_ON_Defocus1.tiff,cup_18.0 mm_100ISO_-3EV_Dist1_OFF_Focused.tiff,cup_18.0 mm_100ISO_-3EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , 
Lens, , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0330,  0.0263,  0.0513,  0.1249,  0.0446,  0.1635,  0.0282,  0.0542,  0.0283,  0.0592,  0.1854,  0.2042
R1090 (pxl) Mean Ctr,  5.3539, 17.3743,  7.4024,  2.6739,  7.9460,  2.8467, 16.9134,  8.6496, 16.4693,  8.4215,  2.6330,  2.8167
CA (pxl) Mean Ctr, 20.5903,  2.7901,  0.5809,  0.5880, 25.0131,  0.0396,  0.2779,  0.0907,  1.5520,  0.8635,  0.3272,  0.2251
MTF50 (LW/PH) Mean Ctr,    265.0,    211.7,    412.5,   1004.5,    358.4,   1314.6,    226.6,    436.0,    227.2,    476.0,   1491.0,   1641.6
R1090 (/PH) Mean Ctr,    750.9,    231.4,    543.1,   1503.4,    505.9,   1412.2,    237.7,    464.8,    244.1,    477.3,   1526.8,   1427.2
Peak MTF Mean Ctr,   1.103,   1.000,   1.014,   1.000,   1.810,   1.036,   1.000,   1.000,   1.000,   1.000,   1.001,   1.000
MTF50P (Cy/Pxl) Mean Ctr,  0.5178,  0.0263,  0.0509,  0.1249,  0.5032,  0.1625,  0.0282,  0.0542,  0.0283,  0.0592,  0.1854,  0.2042
