Imatest,24.2.6, Master, SFR
File,potted plant_18.0 mm_100ISO_+1EV_Dist1_ON_Defocus2.tiff
Run date,07-May-2025 09:49:22,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results/pot+1EV

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0154,  124.02, 0.8676, 0.8633, 0.8668, 0.8871, 0.8676
0.0309,  248.04, 0.5338, 0.5237, 0.5313, 0.5870, 0.5338
0.0463,  372.06, 0.2084, 0.2009, 0.2051, 0.2651, 0.2084
0.0617,  496.08, 0.0151, 0.0187, 0.0132, 0.0513, 0.0151
0.0771,  620.10, 0.0714, 0.0841, 0.0703, 0.0487, 0.0714
0.0926,  744.12, 0.0498, 0.0674, 0.0448, 0.0509, 0.0498
0.1080,  868.14, 0.0029, 0.0331, 0.0096, 0.0209, 0.0029
0.1234,  992.16, 0.0324, 0.0183, 0.0423, 0.0246, 0.0324
0.1388, 1116.18, 0.0600, 0.0486, 0.0658, 0.0472, 0.0600
0.1543, 1240.20, 0.0402, 0.0313, 0.0470, 0.0265, 0.0402
0.1697, 1364.22, 0.0247, 0.0335, 0.0342, 0.0442, 0.0247
0.1851, 1488.24, 0.0140, 0.0512, 0.0215, 0.0432, 0.0140
0.2005, 1612.26, 0.0008, 0.0298, 0.0053, 0.0306, 0.0008
0.2160, 1736.28, 0.0103, 0.0137, 0.0105, 0.0190, 0.0103
0.2314, 1860.30, 0.0301, 0.0226, 0.0363, 0.0246, 0.0301
0.2468, 1984.32, 0.0268, 0.0345, 0.0284, 0.0157, 0.0268
0.2622, 2108.34, 0.0248, 0.0371, 0.0231, 0.0086, 0.0248
0.2777, 2232.36, 0.0382, 0.0410, 0.0397, 0.0256, 0.0382
0.2931, 2356.38, 0.0186, 0.0385, 0.0224, 0.0099, 0.0186
0.3085, 2480.40, 0.0259, 0.0049, 0.0355, 0.0070, 0.0259
0.3239, 2604.43, 0.0227, 0.0115, 0.0313, 0.0093, 0.0227
0.3394, 2728.45, 0.0280, 0.0164, 0.0338, 0.0064, 0.0280
0.3548, 2852.47, 0.0360, 0.0465, 0.0351, 0.0159, 0.0360
0.3702, 2976.49, 0.0117, 0.0315, 0.0059, 0.0153, 0.0117
0.3856, 3100.51, 0.0121, 0.0234, 0.0095, 0.0283, 0.0121
0.4011, 3224.53, 0.0178, 0.0166, 0.0185, 0.0150, 0.0178
0.4165, 3348.55, 0.0348, 0.0508, 0.0324, 0.0156, 0.0348
0.4319, 3472.57, 0.0068, 0.0318, 0.0007, 0.0010, 0.0068
0.4473, 3596.59, 0.0096, 0.0118, 0.0155, 0.0135, 0.0096
0.4628, 3720.61, 0.0168, 0.0179, 0.0181, 0.0104, 0.0168
0.4782, 3844.63, 0.0151, 0.0175, 0.0154, 0.0074, 0.0151
0.4936, 3968.65, 0.0272, 0.0210, 0.0294, 0.0285, 0.0272
0.5090, 4092.67, 0.0183, 0.0180, 0.0200, 0.0215, 0.0183
0.5245, 4216.69, 0.0249, 0.0282, 0.0248, 0.0235, 0.0249
0.5399, 4340.71, 0.0334, 0.0337, 0.0347, 0.0229, 0.0334
0.5553, 4464.73, 0.0743, 0.0688, 0.0797, 0.0427, 0.0743
0.5707, 4588.75, 0.0914, 0.0782, 0.0977, 0.0674, 0.0914
0.5862, 4712.77, 0.0651, 0.0530, 0.0696, 0.0584, 0.0651
0.6016, 4836.79, 0.0421, 0.0325, 0.0457, 0.0341, 0.0421
0.6170, 4960.81, 0.0531, 0.0473, 0.0560, 0.0550, 0.0531
0.6324, 5084.83, 0.0305, 0.0186, 0.0339, 0.0442, 0.0305
0.6479, 5208.85, 0.0155, 0.0361, 0.0124, 0.0260, 0.0155
0.6633, 5332.87, 0.0568, 0.0844, 0.0541, 0.0216, 0.0568
0.6787, 5456.89, 0.0576, 0.0771, 0.0556, 0.0287, 0.0576
0.6941, 5580.91, 0.0494, 0.0357, 0.0545, 0.0468, 0.0494
0.7096, 5704.93, 0.0358, 0.0225, 0.0482, 0.0463, 0.0358
0.7250, 5828.95, 0.0217, 0.0813, 0.0243, 0.0807, 0.0217
0.7404, 5952.97, 0.0332, 0.0402, 0.0607, 0.0954, 0.0332
0.7558, 6076.99, 0.0666, 0.0193, 0.0982, 0.0384, 0.0666
0.7713, 6201.01, 0.0401, 0.0437, 0.0603, 0.0690, 0.0401
0.7867, 6325.03, 0.0371, 0.0591, 0.0506, 0.0720, 0.0371
0.8021, 6449.05, 0.0305, 0.0442, 0.0315, 0.0396, 0.0305
0.8175, 6573.07, 0.0490, 0.0957, 0.0368, 0.0663, 0.0490
0.8330, 6697.09, 0.0767, 0.1103, 0.0754, 0.0798, 0.0767
0.8484, 6821.11, 0.0600, 0.1281, 0.0501, 0.0960, 0.0600
0.8638, 6945.13, 0.0941, 0.2505, 0.0680, 0.0956, 0.0941
0.8792, 7069.15, 0.0869, 0.2053, 0.1016, 0.0400, 0.0869
0.8947, 7193.17, 0.0878, 0.1952, 0.0755, 0.0096, 0.0878
0.9101, 7317.19, 0.0614, 0.1262, 0.0659, 0.1285, 0.0614
0.9255, 7441.21, 0.1343, 0.1446, 0.1534, 0.1970, 0.1343
0.9409, 7565.24, 0.1336, 0.3105, 0.1399, 0.0422, 0.1336
0.9564, 7689.26, 0.1078, 0.3441, 0.0604, 0.0940, 0.1078
0.9718, 7813.28, 0.5109, 0.3395, 0.5346, 0.7602, 0.5109
0.9872, 7937.30, 1.5511, 1.4810, 1.5780, 1.5076, 1.5511
1.0027, 8061.32, 1.9372, 1.9825, 1.9497, 1.6961, 1.9372
,
Interpolated f and MTF, Region 1 of 1 total
freq(C/P),MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0250, 0.6604, 0.6525, 0.6586, 0.7008, 0.6604
0.0500, 0.1617, 0.1569, 0.1588, 0.2135, 0.1617
0.0750, 0.0636, 0.0751, 0.0624, 0.0491, 0.0636
0.1000, 0.0272, 0.0508, 0.0278, 0.0364, 0.0272
0.1250, 0.0353, 0.0215, 0.0448, 0.0269, 0.0353
0.1500, 0.0457, 0.0361, 0.0522, 0.0322, 0.0457
0.1750, 0.0210, 0.0396, 0.0298, 0.0438, 0.0210
0.2000, 0.0012, 0.0305, 0.0059, 0.0310, 0.0012
0.2250, 0.0219, 0.0189, 0.0256, 0.0223, 0.0219
0.2500, 0.0264, 0.0350, 0.0273, 0.0142, 0.0264
0.2750, 0.0359, 0.0403, 0.0368, 0.0227, 0.0359
0.3000, 0.0219, 0.0234, 0.0283, 0.0086, 0.0219
0.3250, 0.0231, 0.0119, 0.0314, 0.0091, 0.0231
0.3500, 0.0335, 0.0372, 0.0347, 0.0130, 0.0335
0.3750, 0.0118, 0.0290, 0.0070, 0.0194, 0.0118
0.4000, 0.0174, 0.0171, 0.0179, 0.0159, 0.0174
0.4250, 0.0193, 0.0403, 0.0149, 0.0076, 0.0193
0.4500, 0.0108, 0.0129, 0.0159, 0.0130, 0.0108
0.4750, 0.0154, 0.0176, 0.0159, 0.0081, 0.0154
0.5000, 0.0235, 0.0198, 0.0255, 0.0256, 0.0235
0.5500, 0.0602, 0.0567, 0.0642, 0.0359, 0.0602
0.6000, 0.0444, 0.0346, 0.0481, 0.0366, 0.0444
0.6500, 0.0212, 0.0428, 0.0182, 0.0254, 0.0212
0.7000, 0.0442, 0.0307, 0.0521, 0.0466, 0.0442
0.7500, 0.0539, 0.0273, 0.0840, 0.0600, 0.0539
0.8000, 0.0314, 0.0462, 0.0341, 0.0441, 0.0314
0.8500, 0.0635, 0.1408, 0.0519, 0.0959, 0.0635
0.9000, 0.0787, 0.1714, 0.0722, 0.0506, 0.0787
0.9500, 0.1185, 0.3302, 0.0933, 0.0726, 0.1185
1.0000, 1.8709, 1.8963, 1.8858, 1.6637, 1.8709

Edge profile, Region 1 of 1 total
x (pixels),R Edge, G Edge, B Edge, Y Edge,CA (max Delta)
-9.97, 0.042, 0.040, 0.029, 0.040, 0.013
-9.47, 0.052, 0.051, 0.043, 0.051, 0.009
-8.98, 0.058, 0.059, 0.042, 0.058, 0.017
-8.48, 0.079, 0.078, 0.067, 0.078, 0.013
-7.98, 0.089, 0.086, 0.073, 0.086, 0.016
-7.48, 0.109, 0.108, 0.095, 0.107, 0.014
-6.98, 0.121, 0.118, 0.110, 0.118, 0.011
-6.48, 0.154, 0.149, 0.134, 0.149, 0.020
-5.98, 0.167, 0.167, 0.152, 0.166, 0.015
-5.49, 0.205, 0.197, 0.182, 0.198, 0.023
-4.99, 0.220, 0.214, 0.201, 0.214, 0.018
-4.49, 0.259, 0.251, 0.239, 0.252, 0.020
-3.99, 0.284, 0.268, 0.260, 0.270, 0.024
-3.49, 0.299, 0.292, 0.292, 0.294, 0.007
-2.99, 0.332, 0.316, 0.316, 0.319, 0.017
-2.49, 0.361, 0.345, 0.351, 0.349, 0.016
-1.99, 0.383, 0.363, 0.369, 0.368, 0.020
-1.50, 0.419, 0.390, 0.403, 0.397, 0.029
-1.00, 0.444, 0.424, 0.432, 0.428, 0.020
-0.50, 0.474, 0.455, 0.469, 0.460, 0.019
 0.00, 0.492, 0.477, 0.492, 0.481, 0.015
 0.50, 0.526, 0.521, 0.538, 0.523, 0.017
 1.00, 0.548, 0.539, 0.563, 0.543, 0.024
 1.50, 0.572, 0.569, 0.597, 0.572, 0.028
 1.99, 0.604, 0.599, 0.627, 0.602, 0.028
 2.49, 0.631, 0.629, 0.658, 0.632, 0.029
 2.99, 0.669, 0.662, 0.690, 0.665, 0.028
 3.49, 0.688, 0.684, 0.713, 0.687, 0.029
 3.99, 0.723, 0.711, 0.740, 0.715, 0.029
 4.49, 0.735, 0.730, 0.767, 0.733, 0.038
 4.99, 0.767, 0.751, 0.786, 0.757, 0.035
 5.49, 0.786, 0.774, 0.819, 0.780, 0.045
 5.98, 0.816, 0.809, 0.844, 0.813, 0.035
 6.48, 0.836, 0.831, 0.871, 0.835, 0.040
 6.98, 0.849, 0.854, 0.886, 0.855, 0.037
 7.48, 0.878, 0.877, 0.914, 0.880, 0.038
 7.98, 0.892, 0.900, 0.926, 0.901, 0.035
 8.48, 0.916, 0.914, 0.946, 0.917, 0.032
 8.98, 0.926, 0.934, 0.955, 0.934, 0.029
 9.47, 0.951, 0.948, 0.971, 0.950, 0.022
 9.97, 0.950, 0.955, 0.967, 0.955, 0.017
10.47, 0.969, 0.966, 0.982, 0.968, 0.015
10.97, 0.966, 0.971, 0.990, 0.971, 0.024
11.47, 0.982, 0.980, 0.986, 0.981, 0.006
11.97, 0.975, 0.981, 1.001, 0.981, 0.026
12.47, 0.986, 0.991, 0.993, 0.990, 0.007
12.97, 0.974, 0.985, 1.001, 0.984, 0.027
13.46, 0.990, 1.001, 1.003, 0.999, 0.012
13.96, 0.985, 0.989, 0.999, 0.989, 0.015
14.46, 1.000, 0.996, 0.999, 0.997, 0.004
14.96, 0.996, 0.994, 1.002, 0.995, 0.008

Level and noise analysis (pixel levels: gamma-encoded and linear) for ROI 1 of 1 total
Dark pixel level  ,   71.6
Light pixel level ,  119.9
Dark level linear , 0.0788
Light level linear,  0.221

Slice orientation,Horiz (V-edge),(Profile)
Image WxH & Mpxls,6024,4020,24.216
lens_to_chart_distance_cm, 205
ROI,6.5% right of ctr
ROI WxH pixels,65,145
ROI boundary L T R B,3213,1977,3277,2121
Edge center,3243.89369,2050.00000, pixels from upper-right
Edge angle,4.168
Channel,Y
Linearization method,Input gamma value
Gamma,0.500
Chart contrast,4
Pixels per inch,0.00000
