Imatest,24.2.6, Master, SFR
File,sports ball_18.0 mm_6400ISO_+1EV_Dist1_OFF_Defocus2.tiff
Run date,07-May-2025 09:55:15,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results/ball+1EV

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0154,  123.82, 0.7788, 0.7259, 0.7931, 0.7877, 0.7788
0.0308,  247.65, 0.3193, 0.2889, 0.3262, 0.3374, 0.3193
0.0462,  371.47, 0.0085, 0.0584, 0.0145, 0.0650, 0.0085
0.0616,  495.29, 0.0717, 0.0733, 0.0967, 0.0312, 0.0717
0.0770,  619.12, 0.0291, 0.1398, 0.0715, 0.0454, 0.0291
0.0924,  742.94, 0.0649, 0.1656, 0.0655, 0.1820, 0.0649
0.1078,  866.76, 0.0500, 0.1526, 0.0991, 0.2476, 0.0500
0.1232,  990.59, 0.0301, 0.1116, 0.0222, 0.2127, 0.0301
0.1386, 1114.41, 0.0543, 0.1054, 0.0567, 0.1439, 0.0543
0.1540, 1238.23, 0.1083, 0.2879, 0.1431, 0.1348, 0.1083
0.1694, 1362.06, 0.1273, 0.3103, 0.1839, 0.1925, 0.1273
0.1848, 1485.88, 0.1300, 0.1772, 0.2402, 0.1656, 0.1300
0.2002, 1609.70, 0.1982, 0.1163, 0.2734, 0.0541, 0.1982
0.2156, 1733.53, 0.1698, 0.2665, 0.1502, 0.1255, 0.1698
0.2310, 1857.35, 0.1292, 0.3152, 0.1024, 0.1752, 0.1292
0.2464, 1981.18, 0.2576, 0.4943, 0.2502, 0.2032, 0.2576
0.2618, 2105.00, 0.2249, 0.2907, 0.2397, 0.2296, 0.2249
0.2772, 2228.82, 0.2433, 0.2545, 0.2425, 0.2369, 0.2433
0.2926, 2352.65, 0.2229, 0.3904, 0.1848, 0.2031, 0.2229
0.3080, 2476.47, 0.0632, 0.1357, 0.1317, 0.0569, 0.0632
0.3234, 2600.29, 0.0969, 0.3440, 0.0493, 0.1248, 0.0969
0.3388, 2724.12, 0.2111, 0.3325, 0.2494, 0.3465, 0.2111
0.3542, 2847.94, 0.1233, 0.0222, 0.1520, 0.2835, 0.1233
0.3696, 2971.76, 0.1559, 0.2527, 0.1372, 0.1474, 0.1559
0.3850, 3095.59, 0.2062, 0.3457, 0.1858, 0.1668, 0.2062
0.4004, 3219.41, 0.1073, 0.3132, 0.0918, 0.1099, 0.1073
0.4158, 3343.23, 0.0931, 0.1887, 0.1067, 0.1009, 0.0931
0.4312, 3467.06, 0.1490, 0.1611, 0.1521, 0.1637, 0.1490
0.4466, 3590.88, 0.1812, 0.1621, 0.2049, 0.0952, 0.1812
0.4620, 3714.70, 0.1274, 0.1139, 0.1468, 0.0178, 0.1274
0.4774, 3838.53, 0.1016, 0.0842, 0.1065, 0.1473, 0.1016
0.4928, 3962.35, 0.1664, 0.1355, 0.1768, 0.1902, 0.1664
0.5082, 4086.17, 0.1017, 0.1959, 0.0853, 0.0649, 0.1017
0.5236, 4210.00, 0.0512, 0.0971, 0.0411, 0.0934, 0.0512
0.5390, 4333.82, 0.1927, 0.1936, 0.1930, 0.2034, 0.1927
0.5544, 4457.64, 0.1248, 0.0659, 0.1417, 0.1360, 0.1248
0.5698, 4581.47, 0.1802, 0.1869, 0.1837, 0.2206, 0.1802
0.5852, 4705.29, 0.2424, 0.2727, 0.2331, 0.3343, 0.2424
0.6006, 4829.11, 0.1829, 0.2094, 0.2032, 0.3911, 0.1829
0.6160, 4952.94, 0.0150, 0.1670, 0.0621, 0.0618, 0.0150
0.6314, 5076.76, 0.1187, 0.0811, 0.1614, 0.2477, 0.1187
0.6468, 5200.58, 0.2811, 0.1022, 0.3560, 0.2527, 0.2811
0.6622, 5324.41, 0.1315, 0.2703, 0.1314, 0.0846, 0.1315
0.6776, 5448.23, 0.1495, 0.0752, 0.1481, 0.3874, 0.1495
0.6930, 5572.05, 0.2737, 0.0357, 0.3168, 0.5927, 0.2737
0.7084, 5695.88, 0.4889, 0.3719, 0.5471, 0.4158, 0.4889
0.7238, 5819.70, 0.5533, 0.7072, 0.5666, 0.1267, 0.5533
0.7392, 5943.53, 0.3024, 0.5070, 0.2763, 0.0888, 0.3024
0.7546, 6067.35, 0.4345, 1.1795, 0.3154, 0.2209, 0.4345
0.7700, 6191.17, 0.4329, 1.4668, 0.2600, 0.6273, 0.4329
0.7854, 6315.00, 0.1421, 0.8330, 0.3274, 0.5405, 0.1421
0.8008, 6438.82, 0.3073, 0.4365, 0.3791, 0.7136, 0.3073
0.8162, 6562.64, 0.7816, 1.6517, 0.6937, 1.1377, 0.7816
0.8316, 6686.47, 0.4018, 1.5608, 0.1819, 1.3051, 0.4018
0.8471, 6810.29, 0.4651, 0.3473, 0.6348, 0.9496, 0.4651
0.8625, 6934.11, 0.5236, 1.0180, 0.4146, 0.5640, 0.5236
0.8779, 7057.94, 0.4409, 0.7596, 0.4305, 0.2845, 0.4409
0.8933, 7181.76, 0.5552, 0.5696, 0.8038, 0.3524, 0.5552
0.9087, 7305.58, 0.1938, 1.5117, 0.2804, 0.7960, 0.1938
0.9241, 7429.41, 0.1748, 1.6884, 0.6400, 0.8865, 0.1748
0.9395, 7553.23, 0.4746, 1.3900, 0.2632, 0.0848, 0.4746
0.9549, 7677.05, 0.5846, 2.0000, 0.4904, 0.3229, 0.5846
0.9703, 7800.88, 1.1080, 2.0000, 0.8075, 2.0000, 1.1080
0.9857, 7924.70, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
1.0011, 8048.52, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
,
Interpolated f and MTF, Region 1 of 1 total
freq(C/P),MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0250, 0.4924, 0.4536, 0.5021, 0.5070, 0.4924
0.0500, 0.0241, 0.0621, 0.0348, 0.0567, 0.0241
0.0750, 0.0346, 0.1312, 0.0748, 0.0435, 0.0346
0.1000, 0.0575, 0.1592, 0.0821, 0.2143, 0.0575
0.1250, 0.0329, 0.1108, 0.0262, 0.2047, 0.0329
0.1500, 0.0942, 0.2404, 0.1206, 0.1371, 0.0942
0.1750, 0.1282, 0.2620, 0.2044, 0.1827, 0.1282
0.2000, 0.1973, 0.1171, 0.2730, 0.0557, 0.1973
0.2250, 0.1450, 0.2962, 0.1211, 0.1558, 0.1450
0.2500, 0.2500, 0.4469, 0.2477, 0.2094, 0.2500
0.2750, 0.2406, 0.2597, 0.2421, 0.2358, 0.2406
0.3000, 0.1464, 0.2683, 0.1593, 0.1331, 0.1464
0.3250, 0.1086, 0.3428, 0.0698, 0.1475, 0.1086
0.3500, 0.1473, 0.1072, 0.1787, 0.3007, 0.1473
0.3750, 0.1735, 0.2852, 0.1542, 0.1542, 0.1735
0.4000, 0.1100, 0.3141, 0.0944, 0.1115, 0.1100
0.4250, 0.1264, 0.1722, 0.1338, 0.1383, 0.1264
0.4500, 0.1694, 0.1515, 0.1922, 0.0783, 0.1694
0.4750, 0.1057, 0.0889, 0.1128, 0.1269, 0.1057
0.5000, 0.1363, 0.1636, 0.1342, 0.1319, 0.1363
0.5500, 0.1443, 0.1027, 0.1565, 0.1554, 0.1443
0.6000, 0.1854, 0.2120, 0.2045, 0.3888, 0.1854
0.6500, 0.2504, 0.1367, 0.3099, 0.2182, 0.2504
0.7000, 0.3710, 0.1876, 0.4209, 0.5128, 0.3710
0.7500, 0.3947, 0.9767, 0.3036, 0.1810, 0.3947
0.8000, 0.2982, 0.4583, 0.3762, 0.7040, 0.2982
0.8500, 0.4763, 0.4757, 0.5927, 0.8758, 0.4763
0.9000, 0.3969, 0.9823, 0.5745, 0.5467, 0.3969
0.9500, 0.5499, 2.1905, 0.4188, 0.2478, 0.5499
1.0000, 4.6739, 3.3965, 5.4886, 3.7050, 4.6739

Edge profile, Region 1 of 1 total
x (pixels),R Edge, G Edge, B Edge, Y Edge,CA (max Delta)
-13.99, 0.076, 0.026, 0.014, 0.036, 0.062
-13.49, 0.023, 0.079, 0.095, 0.068, 0.072
-12.99, 0.129, 0.068, 0.091, 0.083, 0.061
-12.49, 0.065, 0.115, 0.131, 0.105, 0.066
-11.99, 0.137, 0.092, 0.119, 0.104, 0.045
-11.49, 0.149, 0.126, 0.146, 0.133, 0.024
-10.99, 0.134, 0.086, 0.128, 0.100, 0.049
-10.49, 0.149, 0.153, 0.137, 0.151, 0.015
-9.99, 0.167, 0.110, 0.153, 0.126, 0.057
-9.49, 0.193, 0.266, 0.172, 0.242, 0.094
-8.99, 0.234, 0.186, 0.203, 0.198, 0.048
-8.49, 0.215, 0.232, 0.180, 0.224, 0.051
-7.99, 0.269, 0.236, 0.213, 0.242, 0.056
-7.49, 0.253, 0.257, 0.258, 0.256, 0.005
-6.99, 0.283, 0.273, 0.193, 0.269, 0.090
-6.49, 0.302, 0.299, 0.288, 0.299, 0.014
-5.99, 0.315, 0.353, 0.254, 0.337, 0.099
-5.49, 0.318, 0.388, 0.262, 0.363, 0.126
-4.99, 0.279, 0.359, 0.275, 0.335, 0.085
-4.50, 0.309, 0.447, 0.348, 0.409, 0.139
-4.00, 0.289, 0.408, 0.366, 0.378, 0.119
-3.50, 0.361, 0.461, 0.440, 0.437, 0.099
-3.00, 0.341, 0.438, 0.411, 0.414, 0.096
-2.50, 0.403, 0.478, 0.490, 0.462, 0.087
-2.00, 0.417, 0.473, 0.478, 0.461, 0.060
-1.50, 0.455, 0.546, 0.543, 0.525, 0.092
-1.00, 0.501, 0.518, 0.533, 0.515, 0.032
-0.50, 0.472, 0.570, 0.544, 0.546, 0.098
 0.00, 0.521, 0.574, 0.536, 0.559, 0.053
 0.50, 0.510, 0.619, 0.541, 0.589, 0.109
 1.00, 0.558, 0.659, 0.590, 0.631, 0.101
 1.50, 0.576, 0.687, 0.591, 0.655, 0.111
 2.00, 0.581, 0.688, 0.599, 0.657, 0.107
 2.50, 0.588, 0.720, 0.663, 0.686, 0.132
 3.00, 0.624, 0.700, 0.616, 0.677, 0.084
 3.50, 0.574, 0.708, 0.677, 0.675, 0.133
 4.00, 0.669, 0.718, 0.727, 0.707, 0.058
 4.50, 0.607, 0.737, 0.751, 0.708, 0.144
 4.99, 0.700, 0.780, 0.824, 0.765, 0.124
 5.49, 0.740, 0.825, 0.812, 0.805, 0.084
 5.99, 0.744, 0.851, 0.840, 0.826, 0.108
 6.49, 0.764, 0.870, 0.811, 0.842, 0.106
 6.99, 0.721, 0.856, 0.855, 0.825, 0.135
 7.49, 0.666, 0.891, 0.845, 0.837, 0.225
 7.99, 0.766, 0.871, 0.893, 0.849, 0.127
 8.49, 0.711, 0.918, 0.909, 0.871, 0.206
 8.99, 0.886, 0.906, 0.936, 0.904, 0.050
 9.49, 0.781, 0.942, 0.923, 0.904, 0.161
 9.99, 0.875, 0.933, 0.933, 0.920, 0.058
10.49, 0.816, 1.018, 0.909, 0.964, 0.202
10.99, 0.884, 0.993, 0.953, 0.966, 0.110
11.49, 0.813, 1.016, 0.895, 0.961, 0.203
11.99, 0.894, 1.010, 0.962, 0.980, 0.116
12.49, 0.829, 1.049, 0.968, 0.993, 0.220
12.99, 0.867, 1.016, 0.987, 0.980, 0.149
13.49, 0.843, 1.041, 0.970, 0.991, 0.197
13.99, 0.873, 1.031, 1.020, 0.995, 0.158
14.48, 0.881, 1.046, 0.997, 1.005, 0.165
14.98, 0.969, 1.031, 1.017, 1.016, 0.062
15.48, 0.837, 1.018, 1.005, 0.976, 0.181
15.98, 0.954, 1.020, 1.049, 1.008, 0.095
