Imatest,24.2.6, Master, SFR
File,cup_18.0 mm_1600ISO_+1EV_Dist1_ON_Defocus2.tiff
Run date,07-May-2025 09:33:07,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results/cup+1EV

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0154,  123.92, 0.8131, 0.8357, 0.8022, 0.8549, 0.8131
0.0308,  247.85, 0.4243, 0.4702, 0.4011, 0.5226, 0.4243
0.0462,  371.77, 0.1038, 0.1531, 0.0792, 0.2037, 0.1038
0.0617,  495.69, 0.0555, 0.0660, 0.0847, 0.0066, 0.0555
0.0771,  619.61, 0.0712, 0.0546, 0.1001, 0.0487, 0.0712
0.0925,  743.54, 0.0146, 0.0241, 0.0314, 0.0476, 0.0146
0.1079,  867.46, 0.0720, 0.0596, 0.1131, 0.0405, 0.0720
0.1233,  991.38, 0.0891, 0.1373, 0.1502, 0.0489, 0.0891
0.1387, 1115.30, 0.0925, 0.1293, 0.1734, 0.0949, 0.0925
0.1541, 1239.23, 0.0831, 0.0788, 0.1200, 0.0650, 0.0831
0.1695, 1363.15, 0.0828, 0.0832, 0.0928, 0.0598, 0.0828
0.1850, 1487.07, 0.0660, 0.0509, 0.0831, 0.0854, 0.0660
0.2004, 1611.00, 0.0678, 0.1080, 0.0968, 0.0805, 0.0678
0.2158, 1734.92, 0.0341, 0.2006, 0.0792, 0.1246, 0.0341
0.2312, 1858.84, 0.0415, 0.2106, 0.0614, 0.1183, 0.0415
0.2466, 1982.76, 0.0672, 0.0805, 0.0809, 0.0718, 0.0672
0.2620, 2106.69, 0.0835, 0.1752, 0.0606, 0.0799, 0.0835
0.2774, 2230.61, 0.0950, 0.1994, 0.0679, 0.1217, 0.0950
0.2929, 2354.53, 0.0780, 0.0913, 0.0804, 0.0882, 0.0780
0.3083, 2478.46, 0.0242, 0.0539, 0.0429, 0.1121, 0.0242
0.3237, 2602.38, 0.0206, 0.1125, 0.0494, 0.0833, 0.0206
0.3391, 2726.30, 0.0329, 0.1571, 0.0662, 0.0550, 0.0329
0.3545, 2850.22, 0.0107, 0.0785, 0.0228, 0.0601, 0.0107
0.3699, 2974.15, 0.0491, 0.0716, 0.0606, 0.0748, 0.0491
0.3853, 3098.07, 0.0244, 0.0619, 0.0149, 0.0832, 0.0244
0.4007, 3221.99, 0.0604, 0.0134, 0.0706, 0.1034, 0.0604
0.4162, 3345.91, 0.0809, 0.0412, 0.1002, 0.0686, 0.0809
0.4316, 3469.84, 0.0723, 0.0906, 0.0788, 0.0196, 0.0723
0.4470, 3593.76, 0.0355, 0.0577, 0.0301, 0.0530, 0.0355
0.4624, 3717.68, 0.0893, 0.1127, 0.0853, 0.0726, 0.0893
0.4778, 3841.61, 0.1114, 0.0946, 0.1226, 0.0552, 0.1114
0.4932, 3965.53, 0.1131, 0.0698, 0.1323, 0.0776, 0.1131
0.5086, 4089.45, 0.0763, 0.0679, 0.0805, 0.0783, 0.0763
0.5241, 4213.37, 0.0583, 0.0488, 0.0644, 0.0527, 0.0583
0.5395, 4337.30, 0.0414, 0.0472, 0.0495, 0.0360, 0.0414
0.5549, 4461.22, 0.1010, 0.1231, 0.1051, 0.0469, 0.1010
0.5703, 4585.14, 0.1078, 0.1365, 0.1075, 0.1157, 0.1078
0.5857, 4709.07, 0.1346, 0.1326, 0.1442, 0.1420, 0.1346
0.6011, 4832.99, 0.1513, 0.1176, 0.1671, 0.1532, 0.1513
0.6165, 4956.91, 0.0715, 0.0555, 0.0807, 0.1491, 0.0715
0.6319, 5080.83, 0.0560, 0.1665, 0.0587, 0.2097, 0.0560
0.6474, 5204.76, 0.1034, 0.1767, 0.1465, 0.2145, 0.1034
0.6628, 5328.68, 0.0877, 0.1190, 0.1324, 0.0835, 0.0877
0.6782, 5452.60, 0.0882, 0.1360, 0.1446, 0.1252, 0.0882
0.6936, 5576.52, 0.0803, 0.0818, 0.1519, 0.1525, 0.0803
0.7090, 5700.45, 0.1268, 0.0402, 0.1952, 0.2840, 0.1268
0.7244, 5824.37, 0.2582, 0.2757, 0.2954, 0.1436, 0.2582
0.7398, 5948.29, 0.1483, 0.2192, 0.1434, 0.1200, 0.1483
0.7553, 6072.22, 0.1988, 0.2751, 0.2436, 0.1332, 0.1988
0.7707, 6196.14, 0.2919, 0.3848, 0.3725, 0.1455, 0.2919
0.7861, 6320.06, 0.1462, 0.0229, 0.1893, 0.2501, 0.1462
0.8015, 6443.98, 0.1977, 0.1096, 0.3035, 0.1525, 0.1977
0.8169, 6567.91, 0.3496, 0.2355, 0.4145, 0.2781, 0.3496
0.8323, 6691.83, 0.2502, 0.1851, 0.2972, 0.2972, 0.2502
0.8477, 6815.75, 0.1288, 0.3646, 0.1508, 0.3318, 0.1288
0.8631, 6939.68, 0.1776, 0.4272, 0.1863, 0.3247, 0.1776
0.8786, 7063.60, 0.1188, 0.1742, 0.2152, 0.1023, 0.1188
0.8940, 7187.52, 0.0999, 0.2262, 0.1745, 0.1506, 0.0999
0.9094, 7311.44, 0.0940, 0.2113, 0.1782, 0.0942, 0.0940
0.9248, 7435.37, 0.0916, 0.3757, 0.1562, 0.3447, 0.0916
0.9402, 7559.29, 0.1114, 0.2902, 0.0966, 0.6875, 0.1114
0.9556, 7683.21, 0.0548, 0.3946, 0.2531, 0.6437, 0.0548
0.9710, 7807.13, 0.1618, 0.7081, 0.4586, 0.2719, 0.1618
0.9864, 7931.06, 0.1325, 1.0893, 0.3530, 0.5409, 0.1325
1.0019, 8054.98, 0.1697, 1.1177, 0.0382, 0.8284, 0.1697
,
Interpolated f and MTF, Region 1 of 1 total
freq(C/P),MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0250, 0.5712, 0.6084, 0.5527, 0.6482, 0.5712
0.0500, 0.0920, 0.1318, 0.0806, 0.1556, 0.0920
0.0750, 0.0691, 0.0562, 0.0980, 0.0431, 0.0691
0.1000, 0.0426, 0.0414, 0.0713, 0.0441, 0.0426
0.1250, 0.0895, 0.1365, 0.1528, 0.0540, 0.0895
0.1500, 0.0857, 0.0923, 0.1344, 0.0730, 0.0857
0.1750, 0.0769, 0.0718, 0.0894, 0.0688, 0.0769
0.2000, 0.0677, 0.1066, 0.0964, 0.0806, 0.0677
0.2250, 0.0385, 0.2066, 0.0686, 0.1208, 0.0385
0.2500, 0.0708, 0.1013, 0.0765, 0.0736, 0.0708
0.2750, 0.0932, 0.1956, 0.0667, 0.1151, 0.0932
0.3000, 0.0531, 0.0739, 0.0630, 0.0993, 0.0531
0.3250, 0.0216, 0.1163, 0.0509, 0.0808, 0.0216
0.3500, 0.0172, 0.1015, 0.0355, 0.0586, 0.0172
0.3750, 0.0410, 0.0684, 0.0455, 0.0776, 0.0410
0.4000, 0.0587, 0.0157, 0.0679, 0.1024, 0.0587
0.4250, 0.0760, 0.0696, 0.0879, 0.0405, 0.0760
0.4500, 0.0460, 0.0684, 0.0409, 0.0568, 0.0460
0.4750, 0.1074, 0.0979, 0.1158, 0.0584, 0.1074
0.5000, 0.0969, 0.0689, 0.1095, 0.0779, 0.0969
0.5500, 0.0822, 0.0991, 0.0875, 0.0435, 0.0822
0.6000, 0.1501, 0.1187, 0.1654, 0.1523, 0.1501
0.6500, 0.1007, 0.1668, 0.1441, 0.1920, 0.1007
0.7000, 0.0996, 0.0645, 0.1699, 0.2071, 0.0996
0.7500, 0.1816, 0.2560, 0.2095, 0.1287, 0.1816
0.8000, 0.1927, 0.1013, 0.2925, 0.1619, 0.1927
0.8500, 0.1360, 0.3738, 0.1560, 0.3308, 0.1360
0.9000, 0.0976, 0.2203, 0.1759, 0.1285, 0.0976
0.9500, 0.0755, 0.3565, 0.1960, 0.6597, 0.0755
1.0000, 0.1652, 1.1143, 0.0762, 0.7937, 0.1652

Edge profile, Region 1 of 1 total
x (pixels),R Edge, G Edge, B Edge, Y Edge,CA (max Delta)
-12.98, 0.071, 0.033, 0.022, 0.040, 0.049
-12.48, 0.041, 0.042, 0.023, 0.040, 0.019
-11.98, 0.068, 0.060, 0.033, 0.060, 0.035
-11.48, 0.043, 0.053, 0.028, 0.049, 0.025
-10.98, 0.063, 0.065, 0.034, 0.062, 0.031
-10.48, 0.054, 0.072, 0.062, 0.068, 0.018
-9.98, 0.083, 0.080, 0.049, 0.078, 0.033
-9.48, 0.085, 0.091, 0.082, 0.089, 0.009
-8.98, 0.128, 0.108, 0.081, 0.110, 0.047
-8.48, 0.159, 0.134, 0.122, 0.138, 0.036
-7.99, 0.165, 0.152, 0.121, 0.152, 0.044
-7.49, 0.192, 0.174, 0.159, 0.177, 0.033
-6.99, 0.182, 0.221, 0.164, 0.209, 0.057
-6.49, 0.191, 0.228, 0.171, 0.216, 0.057
-5.99, 0.182, 0.258, 0.189, 0.237, 0.076
-5.49, 0.218, 0.279, 0.221, 0.262, 0.062
-4.99, 0.242, 0.310, 0.223, 0.289, 0.087
-4.49, 0.277, 0.333, 0.279, 0.318, 0.056
-3.99, 0.295, 0.336, 0.271, 0.323, 0.065
-3.49, 0.321, 0.366, 0.347, 0.356, 0.045
-2.99, 0.361, 0.385, 0.349, 0.378, 0.037
-2.50, 0.373, 0.411, 0.419, 0.404, 0.046
-2.00, 0.432, 0.429, 0.408, 0.428, 0.024
-1.50, 0.440, 0.449, 0.451, 0.447, 0.011
-1.00, 0.496, 0.458, 0.480, 0.467, 0.038
-0.50, 0.498, 0.495, 0.496, 0.496, 0.003
 0.00, 0.545, 0.496, 0.548, 0.510, 0.052
 0.50, 0.553, 0.524, 0.553, 0.532, 0.029
 1.00, 0.606, 0.541, 0.588, 0.558, 0.065
 1.50, 0.606, 0.579, 0.631, 0.588, 0.052
 2.00, 0.648, 0.627, 0.655, 0.633, 0.028
 2.50, 0.661, 0.655, 0.688, 0.659, 0.033
 2.99, 0.669, 0.680, 0.681, 0.678, 0.012
 3.49, 0.696, 0.713, 0.727, 0.711, 0.031
 3.99, 0.730, 0.714, 0.715, 0.718, 0.016
 4.49, 0.720, 0.709, 0.754, 0.714, 0.045
 4.99, 0.793, 0.768, 0.783, 0.774, 0.025
 5.49, 0.806, 0.745, 0.839, 0.765, 0.094
 5.99, 0.817, 0.780, 0.852, 0.793, 0.072
 6.49, 0.852, 0.787, 0.870, 0.806, 0.083
 6.99, 0.872, 0.816, 0.913, 0.835, 0.097
 7.49, 0.871, 0.835, 0.885, 0.846, 0.050
 7.99, 0.904, 0.851, 0.911, 0.867, 0.060
 8.48, 0.876, 0.884, 0.946, 0.887, 0.070
 8.98, 0.942, 0.902, 0.934, 0.913, 0.039
 9.48, 0.933, 0.942, 0.966, 0.942, 0.034
 9.98, 1.003, 0.953, 0.978, 0.965, 0.050
10.48, 0.965, 0.958, 0.957, 0.959, 0.008
10.98, 0.993, 0.960, 0.972, 0.968, 0.033
11.48, 0.952, 0.980, 0.990, 0.975, 0.038
11.98, 0.994, 0.976, 0.991, 0.981, 0.019
12.48, 0.971, 0.983, 1.024, 0.983, 0.053
12.98, 1.036, 0.957, 0.992, 0.976, 0.079
13.47, 1.026, 0.986, 1.038, 0.998, 0.052
13.97, 1.060, 0.977, 0.994, 0.995, 0.083
14.47, 1.049, 1.000, 1.015, 1.011, 0.049
14.97, 1.032, 0.980, 0.985, 0.991, 0.052
15.47, 1.031, 0.992, 1.015, 1.002, 0.039
15.97, 1.044, 0.997, 0.982, 1.006, 0.062
16.47, 1.047, 1.001, 1.005, 1.011, 0.046
16.97, 1.064, 1.014, 0.995, 1.023, 0.069
