Imatest,24.2.6, Master, SFR
File,cup_18.0 mm_6400ISO_+1EV_Dist1_ON_Defocus2.tiff
Run date,07-May-2025 09:33:07,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results/cup+1EV

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0154,  123.81, 0.8459, 0.8203, 0.8528, 0.8481, 0.8459
0.0308,  247.61, 0.4620, 0.4387, 0.4663, 0.5055, 0.4620
0.0462,  371.42, 0.1391, 0.1999, 0.1251, 0.1820, 0.1391
0.0616,  495.23, 0.0286, 0.0703, 0.0421, 0.1330, 0.0286
0.0770,  619.04, 0.0708, 0.0660, 0.0906, 0.1243, 0.0708
0.0924,  742.84, 0.1285, 0.0149, 0.1927, 0.1169, 0.1285
0.1078,  866.65, 0.1526, 0.1968, 0.1784, 0.1191, 0.1526
0.1232,  990.46, 0.1558, 0.2891, 0.1391, 0.0732, 0.1558
0.1386, 1114.26, 0.1332, 0.2970, 0.1616, 0.0590, 0.1332
0.1540, 1238.07, 0.0939, 0.1245, 0.1170, 0.1269, 0.0939
0.1694, 1361.88, 0.0324, 0.2490, 0.0223, 0.0934, 0.0324
0.1848, 1485.69, 0.0391, 0.1055, 0.0828, 0.1296, 0.0391
0.2002, 1609.49, 0.0866, 0.1793, 0.0810, 0.1774, 0.0866
0.2156, 1733.30, 0.0949, 0.1920, 0.0974, 0.1857, 0.0949
0.2310, 1857.11, 0.2361, 0.3797, 0.2391, 0.2256, 0.2361
0.2464, 1980.92, 0.1694, 0.2056, 0.1881, 0.2139, 0.1694
0.2618, 2104.72, 0.0245, 0.0894, 0.0602, 0.1036, 0.0245
0.2772, 2228.53, 0.0966, 0.2102, 0.1132, 0.0397, 0.0966
0.2926, 2352.34, 0.1396, 0.1492, 0.1747, 0.0468, 0.1396
0.3080, 2476.14, 0.1279, 0.1322, 0.1460, 0.0664, 0.1279
0.3234, 2599.95, 0.0874, 0.1612, 0.0679, 0.1369, 0.0874
0.3388, 2723.76, 0.0233, 0.1236, 0.0506, 0.0905, 0.0233
0.3542, 2847.57, 0.0294, 0.1085, 0.0315, 0.1267, 0.0294
0.3696, 2971.37, 0.0301, 0.1372, 0.0225, 0.1894, 0.0301
0.3850, 3095.18, 0.1106, 0.2072, 0.1229, 0.1296, 0.1106
0.4004, 3218.99, 0.0450, 0.1308, 0.0318, 0.0768, 0.0450
0.4158, 3342.79, 0.0818, 0.1113, 0.0783, 0.0801, 0.0818
0.4312, 3466.60, 0.0873, 0.1064, 0.0932, 0.1289, 0.0873
0.4466, 3590.41, 0.0552, 0.1291, 0.0502, 0.1125, 0.0552
0.4620, 3714.22, 0.0717, 0.1711, 0.0796, 0.0615, 0.0717
0.4774, 3838.02, 0.1296, 0.0425, 0.1648, 0.1020, 0.1296
0.4928, 3961.83, 0.0852, 0.0659, 0.0965, 0.0853, 0.0852
0.5082, 4085.64, 0.1212, 0.1601, 0.1103, 0.1358, 0.1212
0.5236, 4209.44, 0.2374, 0.3337, 0.2272, 0.1838, 0.2374
0.5390, 4333.25, 0.2507, 0.2224, 0.2675, 0.2689, 0.2507
0.5544, 4457.06, 0.1283, 0.1226, 0.1602, 0.0484, 0.1283
0.5698, 4580.87, 0.1421, 0.2305, 0.1358, 0.1087, 0.1421
0.5852, 4704.67, 0.1627, 0.2102, 0.1604, 0.1252, 0.1627
0.6006, 4828.48, 0.0826, 0.1946, 0.0586, 0.0730, 0.0826
0.6160, 4952.29, 0.0886, 0.1742, 0.1455, 0.1723, 0.0886
0.6314, 5076.10, 0.0768, 0.1569, 0.1085, 0.2554, 0.0768
0.6468, 5199.90, 0.1007, 0.3101, 0.0425, 0.1382, 0.1007
0.6622, 5323.71, 0.1463, 0.4064, 0.0845, 0.1618, 0.1463
0.6776, 5447.52, 0.2342, 0.3965, 0.1994, 0.3478, 0.2342
0.6930, 5571.32, 0.2522, 0.3136, 0.2455, 0.1907, 0.2522
0.7083, 5695.13, 0.1274, 0.1395, 0.1509, 0.0322, 0.1274
0.7237, 5818.94, 0.1778, 0.4568, 0.1526, 0.3198, 0.1778
0.7391, 5942.75, 0.1258, 1.0147, 0.1233, 0.7118, 0.1258
0.7545, 6066.55, 0.1078, 0.6533, 0.2505, 0.4073, 0.1078
0.7699, 6190.36, 0.1095, 0.3231, 0.1445, 0.3972, 0.1095
0.7853, 6314.17, 0.2774, 0.2800, 0.4110, 0.2851, 0.2774
0.8007, 6437.97, 0.3405, 0.1034, 0.4578, 0.2612, 0.3405
0.8161, 6561.78, 0.3752, 0.6826, 0.4632, 0.1677, 0.3752
0.8315, 6685.59, 0.6626, 1.1147, 0.5968, 0.4804, 0.6626
0.8469, 6809.40, 0.5412, 0.4658, 0.5812, 0.4069, 0.5412
0.8623, 6933.20, 0.2548, 0.7279, 0.5673, 0.3344, 0.2548
0.8777, 7057.01, 0.0547, 1.7696, 0.5837, 0.5536, 0.0547
0.8931, 7180.82, 0.3534, 1.6380, 0.3261, 0.1419, 0.3534
0.9085, 7304.62, 0.5401, 0.7388, 1.0047, 0.6539, 0.5401
0.9239, 7428.43, 0.5016, 2.0000, 0.9514, 1.4757, 0.5016
0.9393, 7552.24, 0.5350, 2.0000, 0.1610, 1.6002, 0.5350
0.9547, 7676.05, 0.6880, 1.7414, 0.4234, 0.6118, 0.6880
0.9701, 7799.85, 0.8599, 0.9969, 1.2540, 0.5913, 0.8599
0.9855, 7923.66, 0.3587, 0.5377, 0.6923, 1.5230, 0.3587
1.0009, 8047.47, 0.6366, 1.4282, 0.9030, 2.0000, 0.6366
,
Interpolated f and MTF, Region 1 of 1 total
freq(C/P),MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0250, 0.6065, 0.5824, 0.6118, 0.6345, 0.6065
0.0500, 0.1118, 0.1679, 0.1046, 0.1699, 0.1118
0.0750, 0.0654, 0.0666, 0.0843, 0.1254, 0.0654
0.1000, 0.1404, 0.1047, 0.1857, 0.1180, 0.1404
0.1250, 0.1531, 0.2901, 0.1417, 0.0716, 0.1531
0.1500, 0.1041, 0.1692, 0.1286, 0.1093, 0.1041
0.1750, 0.0349, 0.1967, 0.0443, 0.1066, 0.0349
0.2000, 0.0860, 0.1784, 0.0810, 0.1768, 0.0860
0.2250, 0.1812, 0.3068, 0.1840, 0.2101, 0.1812
0.2500, 0.1354, 0.1783, 0.1581, 0.1880, 0.1354
0.2750, 0.0864, 0.1931, 0.1057, 0.0488, 0.0864
0.3000, 0.1340, 0.1410, 0.1609, 0.0562, 0.1340
0.3250, 0.0806, 0.1572, 0.0661, 0.1320, 0.0806
0.3500, 0.0278, 0.1126, 0.0367, 0.1169, 0.0278
0.3750, 0.0585, 0.1619, 0.0579, 0.1683, 0.0585
0.4000, 0.0466, 0.1327, 0.0340, 0.0781, 0.0466
0.4250, 0.0850, 0.1084, 0.0872, 0.1094, 0.0850
0.4500, 0.0589, 0.1384, 0.0568, 0.1011, 0.0589
0.4750, 0.1207, 0.0622, 0.1517, 0.0958, 0.1207
0.5000, 0.1021, 0.1102, 0.1030, 0.1090, 0.1021
0.5500, 0.1630, 0.1508, 0.1906, 0.1108, 0.1630
0.6000, 0.0855, 0.1952, 0.0623, 0.0749, 0.0855
0.6500, 0.1103, 0.3304, 0.0514, 0.1432, 0.1103
0.7000, 0.1951, 0.2339, 0.2022, 0.1182, 0.1951
0.7500, 0.1131, 0.7600, 0.2130, 0.4972, 0.1131
0.8000, 0.3374, 0.1119, 0.4555, 0.2624, 0.3374
0.8500, 0.4842, 0.5179, 0.5785, 0.3925, 0.4842
0.9000, 0.4366, 1.2372, 0.6286, 0.3701, 0.4366
0.9500, 0.6410, 2.0175, 0.3428, 0.9156, 0.6410
1.0000, 0.6198, 1.3745, 0.8903, 2.1070, 0.6198

Edge profile, Region 1 of 1 total
x (pixels),R Edge, G Edge, B Edge, Y Edge,CA (max Delta)
-11.99,-0.002, 0.022, 0.008, 0.017, 0.024
-11.49, 0.039, 0.053, 0.020, 0.048, 0.034
-10.99,-0.017, 0.061, 0.024, 0.043, 0.078
-10.49, 0.006, 0.048, 0.024, 0.038, 0.042
-9.99, 0.001, 0.073, 0.061, 0.058, 0.071
-9.49,-0.004, 0.072, 0.071, 0.057, 0.076
-8.99, 0.106, 0.088, 0.065, 0.090, 0.041
-8.49, 0.054, 0.121, 0.086, 0.105, 0.067
-7.99, 0.179, 0.116, 0.126, 0.129, 0.063
-7.49, 0.113, 0.133, 0.099, 0.126, 0.034
-6.99, 0.145, 0.109, 0.184, 0.122, 0.075
-6.49, 0.189, 0.165, 0.170, 0.170, 0.024
-5.99, 0.161, 0.137, 0.226, 0.149, 0.088
-5.49, 0.226, 0.199, 0.237, 0.207, 0.037
-5.00, 0.273, 0.213, 0.276, 0.230, 0.063
-4.50, 0.267, 0.259, 0.288, 0.263, 0.029
-4.00, 0.320, 0.259, 0.282, 0.273, 0.060
-3.50, 0.319, 0.297, 0.316, 0.302, 0.022
-3.00, 0.328, 0.332, 0.292, 0.328, 0.039
-2.50, 0.327, 0.301, 0.320, 0.307, 0.027
-2.00, 0.359, 0.381, 0.326, 0.373, 0.055
-1.50, 0.396, 0.361, 0.428, 0.373, 0.067
-1.00, 0.429, 0.445, 0.395, 0.438, 0.049
-0.50, 0.483, 0.420, 0.501, 0.439, 0.081
 0.00, 0.509, 0.484, 0.425, 0.485, 0.084
 0.50, 0.558, 0.510, 0.530, 0.521, 0.048
 1.00, 0.543, 0.563, 0.466, 0.552, 0.097
 1.50, 0.589, 0.570, 0.578, 0.575, 0.018
 2.00, 0.622, 0.614, 0.502, 0.607, 0.120
 2.50, 0.692, 0.614, 0.639, 0.631, 0.078
 3.00, 0.687, 0.652, 0.600, 0.655, 0.087
 3.50, 0.689, 0.615, 0.711, 0.637, 0.096
 4.00, 0.715, 0.702, 0.689, 0.704, 0.027
 4.50, 0.736, 0.671, 0.787, 0.693, 0.116
 5.00, 0.724, 0.750, 0.741, 0.745, 0.026
 5.49, 0.750, 0.721, 0.820, 0.734, 0.100
 5.99, 0.775, 0.749, 0.802, 0.758, 0.052
 6.49, 0.708, 0.757, 0.841, 0.754, 0.133
 6.99, 0.821, 0.739, 0.877, 0.765, 0.138
 7.49, 0.780, 0.806, 0.864, 0.805, 0.084
 7.99, 0.872, 0.826, 0.941, 0.844, 0.115
 8.49, 0.891, 0.869, 0.916, 0.877, 0.047
 8.99, 0.908, 0.894, 0.925, 0.899, 0.031
 9.49, 0.908, 0.926, 0.944, 0.924, 0.036
 9.99, 0.967, 0.953, 0.949, 0.955, 0.018
10.49, 0.870, 0.942, 0.956, 0.929, 0.087
10.99, 0.966, 0.979, 0.967, 0.976, 0.013
11.49, 0.880, 0.978, 0.974, 0.958, 0.099
11.99, 0.952, 1.014, 0.976, 0.999, 0.061
12.49, 0.943, 0.993, 1.042, 0.986, 0.099
12.99, 0.905, 1.005, 0.957, 0.981, 0.100
13.49, 0.978, 0.956, 1.025, 0.966, 0.069
13.99, 0.889, 0.995, 0.971, 0.972, 0.106
14.49, 0.994, 0.944, 1.016, 0.959, 0.072
14.99, 0.895, 0.982, 1.001, 0.966, 0.106
15.49, 1.063, 0.972, 1.004, 0.993, 0.091
15.99, 0.938, 1.006, 0.997, 0.991, 0.068
16.48, 1.042, 0.962, 0.948, 0.977, 0.093
16.98, 0.993, 1.028, 0.979, 1.018, 0.049
17.48, 1.019, 1.002, 0.996, 1.005, 0.023
17.98, 1.044, 1.031, 0.973, 1.030, 0.071

