Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3495  2005  3819  2570 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,12-May-2025 17:51:10,
File, cup_55.0 mm_100ISO_0EV_Dist2_OFF_Defocus1.tiff,cup_55.0 mm_100ISO_0EV_Dist2_OFF_Defocus2.tiff,cup_55.0 mm_100ISO_0EV_Dist2_OFF_Focused.tiff,cup_55.0 mm_100ISO_0EV_Dist2_ON_Defocus1.tiff,cup_55.0 mm_100ISO_0EV_Dist2_ON_Defocus2.tiff,cup_55.0 mm_100ISO_0EV_Dist2_ON_Focused.tiff,cup_55.0 mm_1600ISO_0EV_Dist2_OFF_Defocus1.tiff,cup_55.0 mm_1600ISO_0EV_Dist2_OFF_Defocus2.tiff,cup_55.0 mm_1600ISO_0EV_Dist2_OFF_Focused.tiff,cup_55.0 mm_1600ISO_0EV_Dist2_ON_Defocus1.tiff,cup_55.0 mm_1600ISO_0EV_Dist2_ON_Defocus2.tiff,cup_55.0 mm_1600ISO_0EV_Dist2_ON_Focused.tiff,cup_55.0 mm_6400ISO_0EV_Dist2_OFF_Defocus1.tiff,cup_55.0 mm_6400ISO_0EV_Dist2_OFF_Defocus2.tiff,cup_55.0 mm_6400ISO_0EV_Dist2_OFF_Focused.tiff,cup_55.0 mm_6400ISO_0EV_Dist2_ON_Defocus1.tiff,cup_55.0 mm_6400ISO_0EV_Dist2_ON_Defocus2.tiff,cup_55.0 mm_6400ISO_0EV_Dist2_ON_Focused.tiff,cup_55.0 mm_25600ISO_0EV_Dist2_OFF_Defocus1.tiff,cup_55.0 mm_25600ISO_0EV_Dist2_OFF_Defocus2.tiff,cup_55.0 mm_25600ISO_0EV_Dist2_OFF_Focused.tiff,cup_55.0 mm_25600ISO_0EV_Dist2_ON_Defocus1.tiff,cup_55.0 mm_25600ISO_0EV_Dist2_ON_Defocus2.tiff,cup_55.0 mm_25600ISO_0EV_Dist2_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0128,  0.0070,  0.1607,  0.0129,  0.0069,  0.1619,  0.0127,  0.0069,  0.1488,  0.0129,  0.0070,  0.1617,  0.0121,  0.0068,  0.1442,  0.0123,  0.0068,  0.1335,  0.0090,  0.0064,  0.0130,  0.0080,  0.0062,  0.0161
R1090 (pxl) Mean Ctr, 36.8789, 66.9077,  3.1064, 36.4947, 65.2212,  3.0436, 36.2630, 68.4171,  3.0143, 36.9521, 67.3173,  2.9255, 38.3789, 62.0981,  3.2459, 36.1081, 69.4537,  3.0679, 42.7766, 46.2003, 32.2421, 44.6100, 44.6287, 24.3871
CA (pxl) Mean Ctr,  0.4300,  2.3445,  0.8274,  0.4226,  2.4592,  0.8862,  1.3603,  2.3778,  0.7201,  3.6505, 25.7244,  0.7615,  8.9603, 39.5330,  1.5716, 22.4010,  6.0240,  0.4212, 43.0668, 17.2224, 18.7561, 39.9224, 16.8686,  3.2170
MTF50 (LW/PH) Mean Ctr,    103.3,     56.1,   1291.8,    104.1,     55.8,   1301.8,    102.2,     55.6,   1196.7,    103.5,     56.2,   1299.9,     97.2,     54.8,   1159.2,     98.5,     54.6,   1073.3,     72.2,     51.4,    104.8,     64.1,     49.6,    129.7
R1090 (/PH) Mean Ctr,    109.0,     60.1,   1294.1,    110.2,     61.6,   1320.8,    110.9,     58.8,   1333.7,    108.8,     59.7,   1374.1,    104.7,     64.7,   1238.5,    111.3,     57.9,   1310.3,     94.0,     87.0,    124.7,     90.1,     90.1,    164.8
Peak MTF Mean Ctr,   1.000,   1.000,   1.004,   1.000,   1.000,   1.003,   1.000,   1.000,   1.004,   1.000,   1.000,   1.004,   1.000,   1.000,   1.005,   1.000,   1.000,   1.005,   1.519,   1.869,   1.552,   1.394,   1.216,   1.713
MTF50P (Cy/Pxl) Mean Ctr,  0.0128,  0.0070,  0.1483,  0.0129,  0.0069,  0.1613,  0.0127,  0.0069,  0.1487,  0.0129,  0.0070,  0.1616,  0.0121,  0.0068,  0.1441,  0.0123,  0.0068,  0.1076,  0.5039,  0.3997,  0.3608,  0.4041,  0.4040,  0.4420
MTF50P (LW/PH) Mean Ctr,    103.3,     56.1,   1192.6,    104.1,     55.8,   1297.0,    102.2,     55.6,   1195.5,    103.5,     56.2,   1299.1,     97.2,     54.8,   1158.5,     98.5,     54.6,    864.9,   4051.7,   3213.9,   2900.9,   3249.4,   3248.1,   3553.9
