Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3466  1938  3790  2508 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 17:24:36,12-May-2025 17:24:36,12-May-2025 17:24:36,12-May-2025 17:24:36,12-May-2025 17:24:36,12-May-2025 17:24:36,12-May-2025 17:24:36,12-May-2025 17:24:36,12-May-2025 17:24:36,12-May-2025 17:24:36,12-May-2025 17:24:36,12-May-2025 17:24:36,
File, sports ball_55.0 mm_6400ISO_-3EV_Dist2_OFF_Defocus1.tiff,sports ball_55.0 mm_6400ISO_-3EV_Dist2_OFF_Defocus2.tiff,sports ball_55.0 mm_6400ISO_-3EV_Dist2_OFF_Focused.tiff,sports ball_55.0 mm_6400ISO_-3EV_Dist2_ON_Defocus1.tiff,sports ball_55.0 mm_6400ISO_-3EV_Dist2_ON_Defocus2.tiff,sports ball_55.0 mm_6400ISO_-3EV_Dist2_ON_Focused.tiff,sports ball_55.0 mm_25600ISO_-3EV_Dist2_OFF_Defocus1.tiff,sports ball_55.0 mm_25600ISO_-3EV_Dist2_OFF_Defocus2.tiff,sports ball_55.0 mm_25600ISO_-3EV_Dist2_OFF_Focused.tiff,sports ball_55.0 mm_25600ISO_-3EV_Dist2_ON_Defocus1.tiff,sports ball_55.0 mm_25600ISO_-3EV_Dist2_ON_Defocus2.tiff,sports ball_55.0 mm_25600ISO_-3EV_Dist2_ON_Focused.tiff,
Camera, , , , , , , , , , , , 
Lens, , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0126,  0.0072,  0.0283,  0.0127,  0.0071,  0.0144,  0.0053,  0.0022,  0.0121,  0.0090,  0.0030,  0.0057
R1090 (pxl) Mean Ctr, 22.5332, 86.0796, 11.7737, 23.3010, 173.4623, 22.3336, 242.7013, 153.2349, -0.1437, -0.3011, 315.2331, 147.5597
CA (pxl) Mean Ctr, 101.7325, 99.0511,  0.7541, 36.1239, 172.1490, 53.7586, 18.4873, 126.3745, 113.3838, 28.7605, 261.0264, 14.4883
MTF50 (LW/PH) Mean Ctr,    101.3,     57.7,    227.6,    101.9,     57.3,    115.8,     42.3,     17.3,     97.5,     72.4,     24.4,     45.7
R1090 (/PH) Mean Ctr,    178.4,     46.7,    341.4,    172.5,     23.2,    180.0,     16.6,     26.2, -27983.9, -13351.7,     12.8,     27.2
Peak MTF Mean Ctr,   2.587,   2.587,   1.925,   2.598,   2.823,   2.207,   3.351,   7.379,  67.354,   7.139,   1.507,   1.672
MTF50P (Cy/Pxl) Mean Ctr,  0.4499,  0.3761,  0.4698,  0.5006,  0.3332,  0.4452,  0.2626,  0.3195,  0.4672,  0.3932,  0.3757,  0.2740
MTF50P (LW/PH) Mean Ctr,   3617.1,   3024.0,   3777.0,   4024.6,   2679.2,   3579.3,   2111.4,   2568.8,   3756.6,   3161.4,   3020.7,   2203.1
